Disk Power (W), Time (S), 
19.523, 265.413349, 
20.061, 266.413366, 
19.823, 267.413380, 
19.629, 268.413385, 
19.088, 269.413410, 
18.608, 270.413413, 
18.943, 271.413415, 
19.881, 272.413435, 
18.372, 273.413482, 
19.520, 274.413464, 
17.354, 275.413477, 
20.512, 276.413522, 
20.187, 277.413491, 
20.303, 278.416596, 
19.903, 279.413508, 
19.194, 280.413542, 
19.926, 281.413547, 
20.802, 282.413542, 
19.130, 283.413578, 
19.919, 284.413588, 
19.562, 285.413607, 
19.835, 286.413690, 
19.065, 287.413657, 
19.600, 288.413635, 
19.201, 289.413696, 
18.691, 290.413672, 
19.452, 291.413648, 
20.280, 292.414686, 
19.803, 293.414678, 
18.733, 294.414711, 
19.007, 295.414730, 
20.084, 296.414737, 
18.553, 297.414841, 
19.529, 298.414785, 
18.256, 299.414776, 
20.084, 300.414778, 
19.874, 301.414801, 
19.681, 302.414801, 
19.594, 303.414842, 
20.067, 304.414826, 
19.945, 305.414845, 
19.607, 306.414868, 
19.587, 307.414864, 
18.540, 308.414892, 
19.342, 309.414901, 
17.641, 310.414914, 
19.591, 311.414971, 
19.687, 312.414944, 
20.577, 313.414946, 
19.230, 314.414973, 
19.671, 315.415089, 
19.487, 316.415318, 
20.319, 317.414997, 
19.471, 318.414996, 
19.571, 319.415040, 
19.371, 320.415025, 
18.859, 321.415053, 
19.197, 322.415050, 
17.728, 323.415121, 
20.335, 324.415146, 
17.489, 325.415116, 
20.358, 326.416163, 
17.699, 327.416124, 
19.765, 328.416122, 
19.868, 329.416139, 
20.506, 330.416158, 
20.116, 331.416172, 
20.071, 332.416179, 
19.075, 333.416183, 
19.555, 334.416211, 
19.333, 335.417063, 
19.868, 336.416251, 
18.878, 337.416257, 
20.122, 338.416248, 
19.626, 339.416317, 
19.188, 340.416276, 
20.032, 341.416286, 
18.614, 342.416302, 
19.107, 343.416317, 
19.881, 344.416327, 
19.468, 345.416322, 
19.036, 346.416368, 
20.902, 347.416377, 
18.749, 348.416434, 
19.323, 349.416371, 
19.980, 350.416456, 
20.358, 351.416490, 
20.287, 352.416411, 
19.210, 353.416434, 
19.565, 354.416426, 
17.367, 355.416455, 
20.067, 356.416473, 
19.529, 357.416524, 
19.716, 358.416476, 
19.388, 359.416481, 
19.226, 360.417536, 
19.726, 361.417534, 
17.718, 362.417576, 
19.842, 363.417623, 
20.358, 364.417604, 
20.370, 365.417621, 
19.890, 366.417750, 
20.280, 367.417615, 
19.929, 368.417660, 
19.581, 369.417630, 
18.679, 370.417645, 
18.562, 371.417663, 
19.468, 372.417653, 
18.962, 373.417702, 
20.142, 374.417723, 
17.399, 375.417760, 
19.139, 376.417779, 
18.859, 377.417760, 
19.039, 378.417739, 
18.695, 379.417803, 
19.139, 380.417762, 
19.097, 381.417797, 
19.172, 382.417790, 
20.177, 383.417808, 
19.748, 384.417798, 
19.178, 385.418165, 
19.942, 386.417903, 
20.583, 387.417875, 
19.732, 388.417870, 
19.439, 389.417881, 
19.210, 390.417893, 
20.651, 391.417954, 
19.832, 392.417915, 
18.640, 393.417934, 
20.341, 394.418950, 
19.101, 395.418941, 
19.181, 396.418963, 
18.562, 397.418985, 
20.142, 398.418986, 
18.092, 399.419004, 
