GPU_Power(W),Time(S), 
18,5.607179, 
18,5.622962, 
18,5.63887, 
18,5.654675, 
18,5.67048, 
18,5.686343, 
18,5.702142, 
18,5.718004, 
18,5.733818, 
18,5.749643, 
18,5.765469, 
18,5.781313, 
18,5.797114, 
18,5.812923, 
18,5.829171, 
18,5.844974, 
18,5.86079, 
18,5.876669, 
18,5.89247, 
18,5.908297, 
18,5.924135, 
18,5.939957, 
18,5.955784, 
18,5.971626, 
18,5.987449, 
18,6.003279, 
18,6.019114, 
18,6.035121, 
18,6.050921, 
18,6.066728, 
18,6.082561, 
18,6.098391, 
18,6.114245, 
18,6.130125, 
18,6.14599, 
18,6.161829, 
18,6.178196, 
18,6.193995, 
18,6.209822, 
18,6.225664, 
18,6.241537, 
18,6.257364, 
18,6.273176, 
18,6.289001, 
18,6.304831, 
18,6.320664, 
18,6.336492, 
18,6.352488, 
18,6.368295, 
18,6.384102, 
18,6.399925, 
18,6.415749, 
18,6.431572, 
18,6.447401, 
18,6.463237, 
18,6.479068, 
18,6.494899, 
18,6.510924, 
18,6.526722, 
18,6.542525, 
18,6.55835, 
18,6.57509, 
18,6.590926, 
18,6.60676, 
18,6.622673, 
18,6.64115, 
18,6.658644, 
18,6.67448, 
18,6.690311, 
18,6.706138, 
18,6.722033, 
18,6.737799, 
18,6.753516, 
18,6.769308, 
18,6.785119, 
18,6.800936, 
18,6.816742, 
18,6.832811, 
18,6.848702, 
18,6.864511, 
18,6.880316, 
18,6.896125, 
18,6.911934, 
18,6.927735, 
18,6.94354, 
18,6.959356, 
18,6.975165, 
18,6.990975, 
18,7.00679, 
18,7.022597, 
18,7.038627, 
18,7.054441, 
18,7.070242, 
18,7.086087, 
18,7.101897, 
18,7.117751, 
18,7.133574, 
18,7.149415, 
18,7.165217, 
18,7.181274, 
18,7.197083, 
18,7.21289, 
18,7.228702, 
18,7.24451, 
18,7.260318, 
18,7.276128, 
18,7.291973, 
18,7.307794, 
18,7.323636, 
18,7.339473, 
18,7.355524, 
18,7.371326, 
18,7.387133, 
18,7.402944, 
18,7.418753, 
18,7.434597, 
18,7.450401, 
18,7.466264, 
18,7.482119, 
18,7.497983, 
18,7.514283, 
18,7.531696, 
18,7.547499, 
18,7.5633, 
18,7.579108, 
18,7.594948, 
18,7.610787, 
18,7.626941, 
18,7.642738, 
18,7.658545, 
18,7.674354, 
18,7.690223, 
18,7.706077, 
18,7.721933, 
18,7.737769, 
18,7.753575, 
18,7.769408, 
18,7.785207, 
18,7.801015, 
18,7.816827, 
18,7.832969, 
18,7.848806, 
18,7.864633, 
18,7.880442, 
18,7.896242, 
18,7.912047, 
18,7.927857, 
18,7.943667, 
18,7.95948, 
18,7.975287, 
18,7.991093, 
18,8.006895, 
18,8.022703, 
18,8.038902, 
18,8.054708, 
18,8.070546, 
18,8.086355, 
18,8.102162, 
18,8.118027, 
18,8.133839, 
18,8.149691, 
18,8.165521, 
18,8.181554, 
18,8.197412, 
18,8.213241, 
18,8.229271, 
18,8.245085, 
18,8.260899, 
18,8.276705, 
18,8.292514, 
18,8.308337, 
18,8.324091, 
18,8.339947, 
