Disk Power (W), Time (S), 
18.920, 265.734982, 
19.017, 266.734407, 
18.907, 267.734399, 
20.029, 268.734427, 
19.226, 269.734454, 
20.100, 270.734416, 
17.573, 271.734431, 
19.990, 272.734426, 
19.381, 273.734452, 
20.019, 274.735539, 
18.956, 275.735502, 
19.052, 276.735491, 
19.964, 277.735507, 
18.662, 278.735527, 
20.538, 279.735573, 
20.232, 280.735544, 
19.513, 281.735600, 
18.730, 282.735652, 
19.980, 283.735553, 
19.265, 284.735620, 
19.790, 285.735627, 
17.383, 286.735645, 
19.813, 287.735645, 
19.671, 288.735684, 
19.484, 289.735652, 
19.081, 290.735860, 
19.110, 291.735758, 
19.101, 292.735772, 
19.362, 293.735804, 
19.765, 294.735785, 
19.242, 295.735705, 
18.611, 296.736204, 
19.207, 297.735814, 
19.507, 298.735883, 
19.465, 299.735881, 
20.467, 300.735815, 
19.426, 301.735806, 
20.084, 302.736155, 
18.737, 303.735922, 
20.280, 304.735881, 
19.333, 305.735940, 
18.517, 306.735926, 
19.787, 307.735870, 
20.341, 308.736890, 
18.991, 309.736865, 
20.457, 310.736947, 
19.304, 311.737963, 
19.449, 312.736990, 
19.768, 313.736940, 
19.842, 314.736987, 
20.109, 315.736995, 
19.188, 316.737047, 
18.898, 317.737091, 
19.784, 318.737084, 
20.303, 319.737008, 
19.703, 320.737041, 
18.540, 321.737078, 
18.037, 322.737123, 
19.974, 323.737142, 
20.738, 324.737120, 
20.261, 325.737093, 
19.178, 326.737105, 
19.072, 327.737206, 
19.336, 328.737204, 
19.478, 329.737213, 
20.187, 330.737216, 
19.587, 331.737158, 
18.711, 332.737179, 
19.230, 333.737187, 
20.022, 334.737235, 
19.955, 335.737269, 
19.881, 336.737329, 
18.434, 337.737334, 
20.051, 338.737252, 
20.000, 339.737392, 
20.622, 340.737298, 
18.891, 341.737321, 
19.671, 342.737316, 
19.030, 343.738356, 
18.746, 344.738328, 
20.747, 345.738320, 
19.968, 346.738492, 
19.136, 347.738442, 
20.177, 348.738433, 
19.294, 349.738433, 
19.929, 350.738380, 
19.523, 351.738424, 
18.098, 352.738450, 
20.038, 353.738488, 
20.209, 354.738532, 
18.920, 355.738501, 
18.920, 356.738474, 
18.334, 357.738502, 
19.881, 358.738522, 
19.081, 359.738562, 
20.387, 360.738585, 
20.029, 361.738607, 
17.696, 362.738547, 
18.885, 363.738574, 
20.154, 364.738597, 
19.329, 365.738669, 
20.084, 366.738690, 
17.219, 367.738668, 
20.022, 368.738627, 
18.695, 369.738634, 
20.496, 370.738733, 
19.281, 371.738746, 
17.180, 372.738731, 
19.890, 373.738728, 
21.228, 374.738694, 
19.452, 375.738719, 
20.029, 376.738808, 
18.598, 377.739776, 
19.442, 378.739822, 
19.439, 379.739833, 
20.138, 380.739767, 
19.755, 381.739788, 
18.804, 382.739791, 
19.781, 383.739783, 
20.077, 384.739809, 
20.029, 385.739851, 
19.545, 386.739858, 
19.813, 387.739848, 
17.293, 388.739873, 
20.154, 389.739890, 
20.022, 390.739995, 
19.304, 391.739915, 
19.871, 392.739906, 
17.483, 393.739897, 
20.370, 394.739923, 
19.320, 395.739984, 
20.006, 396.739961, 
19.558, 397.739945, 
20.380, 398.739955, 
17.953, 399.740031, 
19.130, 400.740093, 
18.788, 401.740078, 
19.310, 402.740093, 
19.555, 403.740032, 
18.614, 404.740112, 
19.713, 405.740146, 
20.654, 406.740155, 
18.766, 407.740099, 
19.123, 408.740122, 
19.268, 409.740189, 
20.628, 410.740161, 
18.869, 411.741160, 
18.272, 412.741231, 
18.917, 413.741151, 
18.688, 414.741212, 
20.358, 415.741207, 
19.958, 416.741220, 
18.579, 417.741323, 
19.719, 418.741246, 
18.865, 419.741246, 
18.756, 420.741307, 
20.051, 421.741320, 
20.122, 422.741332, 
18.733, 423.741322, 
19.423, 424.741362, 
18.911, 425.741329, 
18.714, 426.741322, 
19.475, 427.741362, 
20.271, 428.741357, 
20.109, 429.741405, 
20.258, 430.741342, 
19.536, 431.741449, 
19.188, 432.741578, 
22.056, 433.741450, 
19.233, 434.741437, 
18.714, 435.741446, 
19.046, 436.741488, 
20.280, 437.741476, 
20.718, 438.741479, 
18.443, 439.741518, 
18.785, 440.741646, 
19.742, 441.741591, 
20.132, 442.741525, 
18.227, 443.741552, 
19.030, 444.741568, 
19.339, 445.741585, 
20.351, 446.742626, 
19.913, 447.742579, 
19.030, 448.742615, 
20.274, 449.742625, 
19.284, 450.742643, 
20.396, 451.742723, 
17.328, 452.742662, 
18.853, 453.742765, 
19.307, 454.742679, 
19.781, 455.742704, 
19.433, 456.742818, 
19.645, 457.742768, 
18.865, 458.742790, 
19.897, 459.742804, 
20.058, 460.742754, 
19.510, 461.742763, 
18.624, 462.743089, 
20.457, 463.742824, 
19.781, 464.742818, 
18.946, 465.742865, 
19.384, 466.742834, 
18.891, 467.742847, 
19.117, 468.742872, 
19.787, 469.742876, 
18.656, 470.742889, 
20.638, 471.742923, 
19.990, 472.742895, 
19.417, 473.742897, 
19.191, 474.742935, 
18.727, 475.742943, 
20.764, 476.743046, 
19.436, 477.742994, 
19.742, 478.742997, 
18.053, 479.743993, 
19.065, 480.744011, 
20.138, 481.744070, 
19.275, 482.744033, 
19.249, 483.744107, 
18.772, 484.744101, 
19.413, 485.744063, 
19.333, 486.744083, 
19.507, 487.744194, 
19.201, 488.744155, 
18.978, 489.744155, 
19.001, 490.744193, 
19.765, 491.744228, 
19.249, 492.744147, 
19.455, 493.744401, 
20.419, 494.744192, 
20.090, 495.744226, 
19.010, 496.744260, 
20.006, 497.744241, 
20.171, 498.744217, 
19.661, 499.744235, 
20.351, 500.744274, 
18.975, 501.744288, 
19.249, 502.744294, 
19.068, 503.744325, 
20.071, 504.744293, 
20.387, 505.744324, 
20.380, 506.744326, 
19.271, 507.744367, 
19.584, 508.744396, 
18.569, 509.744374, 
19.368, 510.744354, 
19.964, 511.744395, 
18.859, 512.744419, 
19.107, 513.745461, 
18.733, 514.745432, 
19.955, 515.745494, 
20.638, 516.745461, 
20.093, 517.745470, 
17.702, 518.745557, 
20.689, 519.745566, 
19.694, 520.745550, 
18.788, 521.745541, 
19.429, 522.745512, 
20.193, 523.745515, 
17.238, 524.745574, 
20.148, 525.745596, 
19.107, 526.745668, 
19.845, 527.745627, 
20.358, 528.745655, 
18.069, 529.745606, 
18.994, 530.745623, 
20.242, 531.745690, 
20.058, 532.745699, 
19.458, 533.745672, 
18.827, 534.745727, 
19.758, 535.745679, 
18.811, 536.745704, 
20.570, 537.745796, 
20.599, 538.745736, 
18.888, 539.745777, 
18.327, 540.745766, 
18.769, 541.745737, 
19.610, 542.745774, 
20.029, 543.745860, 
19.033, 544.745887, 
19.184, 545.745905, 
19.694, 546.745866, 
20.042, 547.745832, 
20.193, 548.746857, 
20.348, 549.746896, 
18.650, 550.746987, 
20.612, 551.746895, 
18.701, 552.746917, 
18.811, 553.746928, 
20.622, 554.746918, 
18.672, 555.747020, 
17.583, 556.746973, 
20.122, 557.747010, 
19.881, 558.747043, 
19.906, 559.746965, 
19.790, 560.746995, 
19.371, 561.747109, 
19.255, 562.747047, 
18.972, 563.747123, 
20.374, 564.747160, 
19.536, 565.747073, 
19.616, 566.747073, 
17.950, 567.747085, 
19.400, 568.747155, 
19.955, 569.747135, 
20.209, 570.747194, 
18.898, 571.747229, 
18.585, 572.747135, 
19.694, 573.747176, 
18.592, 574.747240, 
19.059, 575.747248, 
19.259, 576.747282, 
20.154, 577.747287, 
17.883, 578.747216, 
18.865, 579.747227, 
18.592, 580.747298, 
19.742, 581.747273, 
20.364, 582.748309, 
18.762, 583.748352, 
17.418, 584.748265, 
19.913, 585.748326, 
19.139, 586.748338, 
19.523, 587.748424, 
20.303, 588.748430, 
19.133, 589.748424, 
19.139, 590.748354, 
20.016, 591.748356, 
20.303, 592.748435, 
20.999, 593.748456, 
18.437, 594.748412, 
19.803, 595.748531, 
19.001, 596.748424, 
18.733, 597.748457, 
20.341, 598.748503, 
19.958, 599.748507, 
