GPU_Power(W),Time(S), 
19,5.625373, 
19,5.641127, 
19,5.656841, 
19,5.672654, 
19,5.688614, 
19,5.704404, 
19,5.720343, 
19,5.736123, 
19,5.751985, 
19,5.767766, 
19,5.783479, 
19,5.79931, 
19,5.815025, 
19,5.830791, 
19,5.846488, 
19,5.862253, 
19,5.87835, 
19,5.894143, 
19,5.910006, 
19,5.925772, 
19,5.941513, 
19,5.957342, 
19,5.973148, 
19,5.989103, 
19,6.004888, 
19,6.020661, 
19,6.036458, 
19,6.05238, 
19,6.068121, 
19,6.084386, 
19,6.100138, 
19,6.115929, 
19,6.131703, 
19,6.147511, 
19,6.163341, 
19,6.179084, 
19,6.194839, 
19,6.21064, 
19,6.226427, 
19,6.242263, 
19,6.258112, 
19,6.273848, 
19,6.28962, 
19,6.305378, 
18,6.323401, 
18,6.339127, 
18,6.354896, 
18,6.370632, 
18,6.386397, 
18,6.402104, 
18,6.417912, 
18,6.433622, 
18,6.449389, 
18,6.46511, 
18,6.481248, 
18,6.497071, 
18,6.512864, 
18,6.528609, 
18,6.544422, 
18,6.56024, 
18,6.576083, 
18,6.591794, 
18,6.607529, 
18,6.623284, 
18,6.639083, 
18,6.654967, 
18,6.67073, 
18,6.686729, 
18,6.702509, 
18,6.718284, 
18,6.734158, 
18,6.750071, 
18,6.765795, 
18,6.781581, 
18,6.797448, 
18,6.813308, 
18,6.829151, 
18,6.845229, 
18,6.860947, 
18,6.876905, 
18,6.892677, 
18,6.908462, 
18,6.924247, 
18,6.940036, 
18,6.955813, 
18,6.971593, 
18,6.987413, 
18,7.003177, 
18,7.018874, 
18,7.034637, 
18,7.050493, 
18,7.066392, 
18,7.082541, 
18,7.098332, 
18,7.114034, 
18,7.129778, 
18,7.145517, 
18,7.161317, 
18,7.177033, 
18,7.19278, 
18,7.208692, 
18,7.224497, 
18,7.240233, 
18,7.256144, 
18,7.271866, 
18,7.287907, 
18,7.303679, 
18,7.319549, 
19,7.33721, 
19,7.352972, 
19,7.368769, 
19,7.384637, 
19,7.40046, 
19,7.416328, 
19,7.432067, 
19,7.447816, 
19,7.463735, 
19,7.479531, 
19,7.495374, 
19,7.511097, 
19,7.526856, 
19,7.542825, 
19,7.558599, 
19,7.574428, 
19,7.590321, 
19,7.606052, 
19,7.621823, 
19,7.637672, 
19,7.653552, 
19,7.669998, 
19,7.685769, 
19,7.701494, 
19,7.717233, 
19,7.732989, 
19,7.748789, 
19,7.764505, 
19,7.780296, 
19,7.796102, 
19,7.811903, 
19,7.827751, 
19,7.843545, 
19,7.859241, 
19,7.875072, 
19,7.89086, 
19,7.906685, 
19,7.922651, 
19,7.938376, 
19,7.954137, 
19,7.969948, 
19,7.98588, 
19,8.001793, 
19,8.017513, 
19,8.033304, 
19,8.049152, 
19,8.064924, 
19,8.080988, 
19,8.096735, 
19,8.112531, 
19,8.128357, 
19,8.144167, 
19,8.160008, 
