CPU Power (W), DRAM Power (W), Time (S)
54.27, 12.67, 3.758264, 
53.87, 11.74, 3.779353, 
55.35, 12.71, 3.800324, 
58.24, 13.11, 3.820369, 
57.12, 11.87, 3.840324, 
60.54, 12.91, 3.860197, 
60.82, 13.15, 3.880045, 
59.60, 12.33, 3.899930, 
59.04, 12.92, 3.919813, 
59.79, 12.27, 3.940731, 
55.81, 13.12, 3.960762, 
60.15, 12.47, 3.980786, 
60.39, 12.84, 4.000776, 
60.44, 12.21, 4.020944, 
60.10, 12.83, 4.040838, 
60.51, 13.28, 4.060686, 
59.97, 15.08, 4.080629, 
60.22, 14.43, 4.100555, 
57.72, 13.79, 4.120421, 
60.72, 14.04, 4.140310, 
60.63, 13.87, 4.160143, 
60.31, 14.34, 4.180112, 
60.17, 13.23, 4.199951, 
60.75, 12.32, 4.219841, 
57.79, 12.90, 4.239720, 
60.79, 12.60, 4.259601, 
59.18, 12.47, 4.280581, 
52.25, 12.81, 4.300912, 
59.60, 13.15, 4.320834, 
58.43, 12.45, 4.341740, 
54.66, 12.47, 4.362504, 
51.66, 12.43, 4.382693, 
54.51, 12.81, 4.402564, 
59.33, 12.51, 4.422854, 
56.20, 12.73, 4.443504, 
53.54, 12.24, 4.463783, 
58.78, 11.92, 4.484809, 
54.40, 13.01, 4.505534, 
55.28, 12.70, 4.526369, 
57.77, 12.36, 4.546914, 
57.94, 12.84, 4.568197, 
55.90, 12.60, 4.588519, 
53.12, 12.76, 4.609393, 
58.91, 12.72, 4.629734, 
59.26, 12.73, 4.649937, 
59.86, 13.15, 4.669953, 
60.30, 12.60, 4.689960, 
59.96, 12.24, 4.709920, 
59.17, 12.89, 4.729863, 
60.43, 12.86, 4.749818, 
58.90, 12.74, 4.770182, 
57.62, 12.78, 4.790318, 
58.55, 12.70, 4.810626, 
59.07, 13.30, 4.830963, 
57.17, 13.00, 4.851204, 
56.97, 12.67, 4.871496, 
58.27, 12.64, 4.891778, 
56.49, 13.16, 4.912147, 
60.32, 12.60, 4.932304, 
57.81, 12.56, 4.952639, 
57.43, 12.89, 4.972979, 
57.32, 12.56, 4.993146, 
59.34, 12.83, 5.013617, 
58.31, 12.18, 5.033941, 
57.53, 12.88, 5.054301, 
58.62, 12.79, 5.074590, 
59.47, 12.62, 5.094881, 
57.86, 12.10, 5.115161, 
57.20, 12.96, 5.135459, 
57.56, 12.90, 5.155766, 
60.28, 12.55, 5.176073, 
57.40, 12.05, 5.196221, 
57.70, 12.62, 5.216381, 
57.61, 12.37, 5.236688, 
57.40, 12.58, 5.256897, 
59.95, 12.75, 5.277456, 
56.33, 12.38, 5.297882, 
57.23, 12.85, 5.318300, 
60.01, 12.21, 5.338607, 
57.47, 12.55, 5.358907, 
57.69, 12.64, 5.379183, 
57.36, 12.80, 5.399688, 
59.80, 11.98, 5.420237, 
56.92, 12.85, 5.440663, 
59.13, 12.05, 5.460829, 
57.27, 12.89, 5.481245, 
57.16, 12.55, 5.501565, 
60.37, 13.00, 5.521593, 
55.96, 12.70, 5.541823, 
59.22, 12.60, 5.562075, 
57.40, 12.57, 5.582183, 
57.23, 12.26, 5.602590, 
57.39, 12.48, 5.623158, 
57.46, 13.04, 5.643734, 
56.66, 12.81, 5.664039, 
57.05, 12.84, 5.684622, 
59.40, 12.40, 5.705216, 
58.60, 12.91, 5.725420, 
57.84, 11.97, 5.746001, 
56.00, 12.72, 5.766679, 
59.36, 12.12, 5.786948, 
56.64, 12.69, 5.807450, 
59.50, 12.74, 5.827960, 
56.15, 12.20, 5.848479, 
56.71, 12.96, 5.868567, 
57.21, 12.84, 5.889135, 
58.82, 12.37, 5.909693, 
58.08, 13.15, 5.930051, 
57.50, 12.43, 5.950541, 
56.45, 12.75, 5.971042, 
59.29, 12.74, 5.991514, 
56.13, 12.29, 6.012412, 
58.08, 12.70, 6.033048, 
57.63, 12.72, 6.053658, 
56.78, 12.86, 6.073842, 
56.79, 12.62, 6.094403, 
59.10, 12.85, 6.114916, 
55.96, 12.80, 6.135401, 
58.73, 12.47, 6.155899, 
56.17, 12.67, 6.176390, 
56.58, 13.02, 6.196964, 
58.77, 12.16, 6.217395, 
56.48, 13.59, 6.237953, 
59.19, 12.64, 6.258465, 
56.58, 12.70, 6.278906, 
59.02, 12.50, 6.299406, 
56.43, 12.84, 6.319890, 
57.09, 12.50, 6.340419, 
57.84, 12.56, 6.360598, 
56.86, 12.61, 6.381243, 
58.70, 12.48, 6.401554, 
57.09, 12.57, 6.421815, 
56.56, 12.80, 6.442453, 
59.01, 12.76, 6.462942, 
56.65, 12.80, 6.483412, 
58.75, 12.40, 6.503892, 
56.35, 12.42, 6.524386, 
56.16, 12.71, 6.544923, 
59.33, 12.45, 6.565284, 
56.21, 12.67, 6.586164, 
58.48, 13.02, 6.606931, 
57.31, 12.80, 6.627194, 
56.01, 13.39, 6.647647, 
55.62, 13.88, 6.669034, 
53.77, 13.82, 6.689608, 
51.38, 13.18, 6.710284, 
51.04, 13.36, 6.731324, 
51.33, 13.81, 6.752473, 
53.27, 12.91, 6.772937, 
57.10, 12.79, 6.793002, 
58.69, 12.42, 6.813484, 
58.42, 12.36, 6.833933, 
57.49, 12.57, 6.854431, 
59.46, 13.16, 6.874915, 
57.07, 12.27, 6.895403, 
56.66, 12.56, 6.915843, 
60.02, 12.76, 6.936199, 
57.00, 12.56, 6.956679, 
56.76, 12.02, 6.977139, 
59.87, 12.58, 6.997470, 
56.97, 12.70, 7.017827, 
57.11, 12.59, 7.038293, 
59.85, 12.20, 7.058728, 
56.88, 12.48, 7.079216, 
59.66, 12.77, 7.099713, 
56.67, 12.48, 7.120203, 
57.03, 12.61, 7.140339, 
60.49, 13.05, 7.160913, 
56.79, 12.12, 7.181371, 
59.26, 12.83, 7.201627, 
58.11, 12.65, 7.222537, 
57.85, 12.68, 7.243288, 
57.26, 12.47, 7.263937, 
58.91, 12.52, 7.284091, 
57.56, 12.85, 7.304556, 
57.93, 12.57, 7.324957, 
58.74, 12.68, 7.345105, 
57.11, 12.54, 7.365707, 
56.65, 12.88, 7.386371, 
60.22, 12.44, 7.406632, 
57.22, 12.81, 7.427118, 
59.91, 12.75, 7.447570, 
56.85, 12.39, 7.468075, 
56.89, 12.59, 7.488224, 
59.31, 12.77, 7.508825, 
57.62, 12.07, 7.529396, 
58.65, 12.82, 7.549682, 
58.89, 12.54, 7.570045, 
56.96, 12.51, 7.590720, 
59.97, 12.78, 7.611005, 
57.01, 12.52, 7.631506, 
56.79, 12.49, 7.652001, 
59.61, 12.43, 7.672490, 
57.09, 12.47, 7.692930, 
59.67, 12.67, 7.713649, 
56.20, 12.89, 7.734514, 
59.42, 12.39, 7.755019, 
58.37, 13.05, 7.775666, 
57.53, 12.40, 7.796187, 
58.30, 12.77, 7.816702, 
56.89, 12.63, 7.836739, 
56.71, 12.92, 7.857188, 
57.80, 12.48, 7.877712, 
59.78, 12.87, 7.897970, 
56.25, 11.80, 7.918674, 
59.81, 13.10, 7.939168, 
56.90, 12.50, 7.959658, 
60.07, 12.52, 7.979822, 
57.58, 12.50, 8.000299, 
56.77, 12.70, 8.020905, 
59.77, 12.52, 8.041121, 
57.24, 12.13, 8.061619, 
56.72, 12.55, 8.081982, 
60.44, 12.86, 8.102344, 
56.73, 12.50, 8.122835, 
56.82, 12.76, 8.143335, 
59.60, 12.75, 8.163778, 
57.58, 12.79, 8.183542, 
58.78, 12.60, 8.203947, 
56.73, 12.75, 8.224446, 
59.95, 12.61, 8.244634, 
57.46, 12.49, 8.265288, 
56.33, 12.97, 8.285924, 
60.09, 12.18, 8.306339, 
56.65, 12.49, 8.327087, 
58.32, 12.73, 8.347643, 
59.42, 12.80, 8.368097, 
57.08, 12.93, 8.388252, 
57.04, 12.43, 8.408964, 
57.75, 12.79, 8.429745, 
57.39, 12.49, 8.449864, 
57.38, 12.56, 8.470774, 
57.58, 12.55, 8.491548, 
58.04, 11.80, 8.512541, 
58.36, 12.62, 8.532610, 
56.74, 11.92, 8.553559, 
57.33, 12.60, 8.574669, 
58.36, 12.19, 8.594943, 
56.30, 12.56, 8.615666, 
58.16, 12.96, 8.636644, 
57.35, 12.65, 8.657597, 
57.33, 12.56, 8.677792, 
57.43, 12.16, 8.698685, 
58.18, 12.61, 8.719597, 
55.83, 11.90, 8.740937, 
58.19, 12.44, 8.760928, 
57.18, 13.29, 8.781849, 
55.88, 12.57, 8.802954, 
59.94, 12.22, 8.823203, 
56.26, 12.19, 8.843899, 
56.27, 12.20, 8.864971, 
56.39, 12.70, 8.886028, 
57.81, 12.65, 8.906389, 
59.60, 13.05, 8.927108, 
55.51, 12.36, 8.948059, 
57.51, 12.23, 8.969121, 
58.35, 12.55, 8.989174, 
57.37, 12.28, 9.009833, 
57.87, 12.25, 9.030975, 
58.26, 13.14, 9.051104, 
57.07, 12.76, 9.071768, 
57.00, 12.87, 9.092084, 
59.49, 11.98, 9.112611, 
57.65, 12.35, 9.132699, 
58.14, 12.70, 9.153013, 
60.35, 12.56, 9.173527, 
57.66, 12.60, 9.193818, 
57.41, 13.28, 9.214835, 
58.18, 12.29, 9.235831, 
57.75, 12.66, 9.256732, 
57.89, 12.62, 9.276726, 
57.16, 12.23, 9.297632, 
58.35, 12.67, 9.318383, 
59.53, 13.09, 9.338525, 
56.35, 13.25, 9.359283, 
56.00, 12.64, 9.380302, 
56.43, 13.41, 9.401413, 
58.17, 13.15, 9.421457, 
56.98, 13.13, 9.442288, 
58.05, 12.06, 9.463227, 
57.80, 12.87, 9.484126, 
58.34, 13.50, 9.504156, 
56.70, 12.74, 9.525246, 
56.86, 12.80, 9.546311, 
58.33, 12.82, 9.566575, 
56.16, 12.47, 9.587280, 
57.97, 13.30, 9.608226, 
57.16, 13.11, 9.629368, 
56.83, 13.07, 9.649591, 
57.60, 13.06, 9.670393, 
58.54, 13.47, 9.691411, 
57.25, 12.74, 9.712862, 
56.32, 13.25, 9.732846, 
57.34, 13.19, 9.753800, 
57.76, 13.30, 9.774621, 
57.11, 13.23, 9.794777, 
58.23, 12.57, 9.815521, 
56.00, 12.60, 9.836645, 
56.20, 12.20, 9.857688, 
57.71, 13.38, 9.877996, 
59.72, 13.09, 9.898716, 
55.49, 13.03, 9.919437, 
58.39, 12.42, 9.940152, 
59.00, 13.00, 9.960170, 
53.81, 12.73, 9.981358, 
59.28, 13.09, 10.002288, 
56.24, 13.14, 10.022524, 
59.79, 12.79, 10.043199, 
55.95, 13.31, 10.063923, 
57.85, 12.91, 10.084950, 
58.25, 13.13, 10.105091, 
56.40, 12.85, 10.125863, 
57.71, 13.25, 10.146811, 
58.58, 13.32, 10.167329, 
55.57, 13.02, 10.188308, 
57.16, 12.79, 10.209592, 
57.10, 13.06, 10.230727, 
58.38, 13.21, 10.250740, 
56.49, 12.83, 10.271479, 
56.80, 13.11, 10.292557, 
57.77, 12.98, 10.313791, 
57.70, 13.69, 10.333976, 
56.83, 12.58, 10.354695, 
58.51, 12.37, 10.375641, 
57.75, 12.95, 10.396594, 
58.44, 12.70, 10.416690, 
56.99, 12.39, 10.437399, 
56.12, 12.47, 10.458420, 
57.32, 12.34, 10.478670, 
59.38, 12.64, 10.499376, 
55.26, 12.47, 10.520323, 
57.32, 12.38, 10.541265, 
58.64, 12.34, 10.561539, 
56.39, 12.89, 10.582382, 
57.86, 11.75, 10.603494, 
56.97, 12.94, 10.624638, 
58.08, 11.81, 10.644696, 
55.69, 12.49, 10.665417, 
58.61, 12.90, 10.686174, 
59.37, 12.43, 10.706237, 
55.37, 12.79, 10.726924, 
58.54, 12.45, 10.747712, 
57.26, 12.75, 10.768408, 
56.91, 12.59, 10.788750, 
59.28, 12.28, 10.809750, 
57.46, 12.65, 10.830660, 
56.29, 12.66, 10.850928, 
59.70, 12.34, 10.871619, 
55.73, 12.86, 10.892323, 
58.08, 12.48, 10.913228, 
60.37, 12.73, 10.933226, 
59.14, 12.56, 10.953466, 
58.55, 12.52, 10.973629, 
59.02, 12.61, 10.993830, 
58.02, 12.70, 11.014516, 
59.42, 12.28, 11.035009, 
56.96, 12.46, 11.055447, 
59.48, 12.31, 11.076149, 
56.54, 13.12, 11.096894, 
60.07, 12.61, 11.117391, 
57.85, 12.43, 11.137586, 
61.14, 12.77, 11.157984, 
57.58, 12.60, 11.178511, 
57.89, 12.35, 11.199059, 
59.11, 12.52, 11.220036, 
56.89, 12.20, 11.240970, 
58.22, 12.92, 11.261536, 
56.44, 12.50, 11.281656, 
57.35, 12.28, 11.302666, 
57.34, 12.70, 11.323604, 
57.39, 12.58, 11.344683, 
57.41, 12.25, 11.364803, 
56.83, 12.70, 11.385487, 
58.25, 12.40, 11.406512, 
59.26, 12.69, 11.426773, 
57.18, 12.12, 11.447324, 
59.23, 12.83, 11.468026, 
55.77, 12.52, 11.488781, 
58.65, 12.65, 11.509111, 
56.58, 12.67, 11.529852, 
58.33, 12.20, 11.550732, 
59.21, 12.96, 11.571001, 
56.68, 12.31, 11.591701, 
58.34, 12.69, 11.612791, 
55.26, 12.34, 11.633789, 
57.31, 12.65, 11.653951, 
57.92, 12.06, 11.674811, 
56.93, 12.61, 11.696143, 
58.40, 12.63, 11.717333, 
58.31, 12.43, 11.737267, 
57.30, 12.77, 11.758039, 
56.27, 11.40, 11.778623, 
58.08, 13.12, 11.798826, 
57.02, 12.88, 11.819540, 
58.60, 12.51, 11.840271, 
56.18, 12.65, 11.861308, 
58.24, 12.57, 11.881549, 
57.59, 12.65, 11.902244, 
57.12, 12.47, 11.923226, 
57.96, 12.47, 11.943873, 
57.01, 12.75, 11.964017, 
58.06, 12.23, 11.985215, 
56.78, 12.67, 12.006159, 
59.74, 12.91, 12.026595, 
57.60, 12.11, 12.046934, 
58.03, 12.77, 12.067325, 
59.46, 12.57, 12.088092, 
55.91, 12.71, 12.108190, 
58.00, 12.55, 12.129380, 
58.67, 11.98, 12.150635, 
58.15, 12.50, 12.171032, 
55.82, 12.60, 12.192077, 
57.64, 12.33, 12.213277, 
57.12, 12.43, 12.234221, 
57.34, 13.29, 12.254315, 
57.70, 12.36, 12.275119, 
56.85, 12.75, 12.295875, 
58.41, 12.55, 12.317100, 
57.95, 12.83, 12.337287, 
57.42, 12.34, 12.357939, 
59.44, 12.85, 12.378703, 
56.97, 12.65, 12.399037, 
58.14, 12.38, 12.419538, 
58.66, 12.33, 12.440064, 
56.78, 12.96, 12.460556, 
60.56, 12.58, 12.480449, 
58.35, 12.52, 12.500985, 
57.00, 12.66, 12.521506, 
60.83, 12.24, 12.541543, 
58.10, 12.24, 12.562008, 
59.29, 12.71, 12.582195, 
58.65, 12.50, 12.602393, 
57.21, 13.17, 12.623320, 
60.58, 12.73, 12.644024, 
59.41, 12.22, 12.664493, 
57.06, 12.36, 12.684982, 
60.96, 12.95, 12.705597, 
57.37, 12.60, 12.726172, 
60.04, 12.69, 12.746374, 
57.16, 12.29, 12.767134, 
60.88, 12.51, 12.787857, 
57.05, 11.70, 12.808366, 
62.46, 12.81, 12.827642, 
62.41, 12.28, 12.847662, 
58.99, 12.85, 12.867985, 
57.95, 12.50, 12.887629, 
57.79, 11.78, 12.908584, 
57.75, 12.69, 12.929548, 
57.55, 12.68, 12.949568, 
58.25, 12.22, 12.969965, 
57.50, 12.05, 12.990664, 
56.15, 12.42, 13.010956, 
58.97, 12.55, 13.031739, 
56.29, 12.81, 13.052494, 
58.09, 12.63, 13.073812, 
57.85, 12.26, 13.093964, 
57.72, 12.72, 13.114473, 
60.44, 12.37, 13.134798, 
57.78, 12.79, 13.155076, 
57.44, 12.41, 13.175432, 
60.95, 12.69, 13.195802, 
56.77, 12.55, 13.216635, 
58.42, 12.67, 13.236785, 
57.06, 12.35, 13.257504, 
58.93, 12.26, 13.278197, 
56.03, 12.66, 13.298586, 
57.48, 12.82, 13.319312, 
58.17, 12.79, 13.340047, 
57.91, 12.03, 13.361132, 
57.87, 12.94, 13.381109, 
57.28, 12.43, 13.401621, 
56.85, 12.62, 13.422256, 
59.98, 12.35, 13.442623, 
57.00, 12.66, 13.463137, 
59.58, 12.60, 13.483758, 
56.24, 12.82, 13.504499, 
58.81, 12.44, 13.524560, 
57.96, 12.53, 13.544893, 
57.28, 12.60, 13.565696, 
59.49, 12.74, 13.585778, 
56.80, 12.30, 13.606621, 
59.06, 12.80, 13.627179, 
56.92, 12.34, 13.647707, 
59.48, 12.40, 13.667901, 
57.68, 11.86, 13.688427, 
57.08, 12.33, 13.709035, 
59.69, 12.65, 13.729317, 
57.18, 12.38, 13.749772, 
56.69, 12.39, 13.770386, 
60.27, 12.07, 13.790666, 
56.74, 12.62, 13.811389, 
58.63, 12.47, 13.832112, 
57.10, 12.73, 13.852930, 
57.66, 12.35, 13.873190, 
59.80, 12.39, 13.893699, 
55.85, 12.19, 13.914497, 
59.81, 12.92, 13.934771, 
56.72, 12.57, 13.955481, 
58.67, 12.84, 13.976214, 
55.46, 12.51, 13.997077, 
59.41, 12.32, 14.017331, 
56.73, 13.05, 14.037900, 
58.64, 12.30, 14.058521, 
56.47, 12.41, 14.078832, 
58.82, 12.35, 14.099484, 
56.84, 12.52, 14.120196, 
58.20, 12.19, 14.140860, 
56.89, 12.71, 14.161057, 
59.79, 12.65, 14.181770, 
55.43, 12.83, 14.202556, 
59.00, 12.30, 14.222826, 
56.96, 12.87, 14.243585, 
58.35, 12.17, 14.264297, 
55.48, 12.51, 14.285111, 
58.97, 12.46, 14.305303, 
57.20, 12.05, 14.326054, 
58.30, 11.97, 14.346631, 
59.39, 12.34, 14.367076, 
56.69, 12.21, 14.387781, 
58.20, 12.77, 14.408511, 
55.71, 12.24, 14.429238, 
59.25, 12.64, 14.449473, 
57.13, 12.06, 14.470154, 
58.51, 12.82, 14.490721, 
56.60, 12.70, 14.511154, 
58.97, 12.31, 14.531843, 
56.43, 12.59, 14.552478, 
58.14, 12.18, 14.573367, 
57.84, 12.71, 14.593351, 
58.92, 12.68, 14.613961, 
56.14, 12.82, 14.634674, 
59.84, 12.30, 14.654943, 
56.46, 12.63, 14.675648, 
59.34, 12.54, 14.696296, 
55.65, 12.52, 14.717157, 
59.05, 12.31, 14.737333, 
57.00, 12.93, 14.758217, 
57.81, 12.09, 14.778942, 
59.21, 12.96, 14.799298, 
56.88, 12.37, 14.819755, 
56.99, 12.68, 14.840287, 
58.67, 12.18, 14.861249, 
58.59, 12.89, 14.881482, 
56.75, 12.27, 14.902279, 
58.09, 12.75, 14.922968, 
56.46, 12.68, 14.943246, 
56.16, 12.62, 14.963989, 
59.01, 12.47, 14.984993, 
57.59, 12.66, 15.005876, 
59.07, 12.87, 15.026142, 
56.78, 12.90, 15.047046, 
58.37, 11.59, 15.067732, 
58.61, 12.85, 15.088515, 
56.12, 12.77, 15.108492, 
57.76, 12.66, 15.129290, 
58.07, 12.22, 15.149823, 
56.65, 12.45, 15.170111, 
59.16, 12.57, 15.190679, 
56.61, 12.39, 15.211186, 
58.33, 12.40, 15.232147, 
58.93, 12.77, 15.252134, 
54.48, 12.72, 15.272961, 
57.59, 12.74, 15.293702, 
59.55, 12.39, 15.313875, 
55.49, 13.00, 15.335049, 
59.67, 12.57, 15.355501, 
58.09, 12.40, 15.376306, 
56.56, 12.50, 15.396337, 
57.27, 12.35, 15.417240, 
57.07, 12.62, 15.438107, 
60.24, 12.23, 15.458017, 
55.52, 12.73, 15.479187, 
59.92, 12.62, 15.499556, 
55.72, 12.63, 15.520676, 
58.01, 12.66, 15.540591, 
57.74, 12.90, 15.561540, 
56.71, 13.09, 15.582439, 
59.86, 12.92, 15.602670, 
55.45, 13.36, 15.623480, 
60.45, 12.92, 15.643666, 
54.96, 13.14, 15.664838, 
59.39, 12.93, 15.684656, 
57.59, 12.57, 15.705680, 
56.87, 12.66, 15.726561, 
