CPU Power (W), DRAM Power (W), Time (S)
69.71, 16.03, 45.244481, 
77.64, 18.16, 45.263895, 
61.47, 13.70, 45.283881, 
58.95, 14.01, 45.303836, 
59.97, 14.12, 45.323700, 
58.20, 12.79, 45.343735, 
59.40, 13.43, 45.363539, 
60.58, 12.36, 45.383490, 
59.14, 12.32, 45.403445, 
57.45, 12.66, 45.423220, 
58.94, 12.46, 45.442875, 
57.95, 12.50, 45.462570, 
56.34, 12.47, 45.482253, 
55.80, 12.56, 45.503324, 
52.75, 13.95, 45.524531, 
62.23, 15.07, 45.545357, 
63.91, 15.37, 45.566109, 
64.71, 14.41, 45.587042, 
63.16, 15.55, 45.607768, 
61.19, 14.55, 45.628718, 
64.22, 16.12, 45.649606, 
63.86, 16.03, 45.669522, 
81.02, 17.76, 45.689530, 
61.44, 14.25, 45.708700, 
59.80, 13.76, 45.728561, 
59.68, 13.73, 45.748285, 
57.61, 12.36, 45.768089, 
59.44, 13.79, 45.787709, 
59.82, 12.18, 45.807355, 
55.83, 12.24, 45.827326, 
57.43, 12.55, 45.847260, 
57.30, 12.19, 45.867407, 
56.40, 12.57, 45.888047, 
58.00, 12.78, 45.908734, 
52.26, 12.36, 45.929265, 
58.51, 15.60, 45.949075, 
67.68, 14.70, 45.968293, 
67.88, 14.53, 45.987598, 
68.16, 15.33, 46.006939, 
70.43, 15.07, 46.026245, 
70.66, 15.41, 46.045554, 
68.75, 16.42, 46.064908, 
65.20, 16.92, 46.085935, 
75.16, 16.00, 46.105835, 
60.55, 13.71, 46.125444, 
60.13, 14.06, 46.145576, 
60.65, 12.92, 46.164953, 
61.18, 12.36, 46.184295, 
60.38, 13.99, 46.203684, 
59.59, 12.20, 46.223575, 
58.75, 13.03, 46.243242, 
57.19, 12.74, 46.262957, 
58.15, 12.22, 46.282505, 
56.14, 12.90, 46.302139, 
57.81, 12.39, 46.322107, 
53.41, 12.81, 46.343139, 
58.85, 15.32, 46.363003, 
63.23, 14.56, 46.382868, 
65.85, 15.41, 46.402730, 
64.05, 15.00, 46.422891, 
63.83, 15.23, 46.442969, 
66.41, 15.94, 46.462890, 
64.24, 16.16, 46.482775, 
71.77, 17.79, 46.502846, 
60.28, 13.86, 46.522797, 
58.33, 14.51, 46.541308, 
57.29, 13.34, 46.560190, 
57.06, 12.90, 46.580846, 
59.46, 13.30, 46.601589, 
57.51, 12.60, 46.622273, 
58.92, 12.27, 46.642283, 
57.53, 12.35, 46.663141, 
58.07, 12.79, 46.683755, 
57.18, 12.46, 46.704425, 
57.42, 12.68, 46.724714, 
57.35, 12.24, 46.746628, 
57.13, 15.14, 46.767043, 
67.15, 15.00, 46.786123, 
67.62, 15.36, 46.805519, 
69.78, 15.33, 46.824926, 
69.09, 14.79, 46.844425, 
69.10, 15.38, 46.863882, 
68.92, 16.51, 46.883360, 
66.21, 15.61, 46.903481, 
75.86, 17.80, 46.923637, 
58.75, 14.17, 46.944593, 
57.09, 13.68, 46.964861, 
58.17, 13.95, 46.985868, 
58.17, 12.61, 47.006756, 
56.15, 13.12, 47.026909, 
56.41, 12.84, 47.047631, 
59.69, 11.83, 47.068289, 
58.44, 12.67, 47.088667, 
60.13, 12.30, 47.109101, 
56.96, 12.54, 47.129679, 
56.18, 12.97, 47.150949, 
57.45, 13.16, 47.172368, 
60.37, 15.36, 47.192105, 
63.65, 15.10, 47.213298, 
66.74, 15.41, 47.232442, 
70.26, 15.08, 47.251634, 
70.00, 15.15, 47.270814, 
71.97, 15.88, 47.290032, 
69.09, 15.66, 47.309739, 
74.03, 18.56, 47.329107, 
62.76, 14.48, 47.347841, 
56.03, 14.14, 47.368553, 
59.58, 13.89, 47.389151, 
56.05, 13.20, 47.410146, 
57.58, 12.44, 47.430523, 
60.37, 13.53, 47.450878, 
59.89, 12.47, 47.471072, 
55.84, 12.43, 47.492327, 
59.17, 12.34, 47.512650, 
59.11, 12.77, 47.533272, 
56.77, 12.36, 47.553592, 
54.02, 12.45, 47.577158, 
60.37, 14.36, 47.597033, 
69.29, 15.26, 47.616296, 
68.15, 15.09, 47.635560, 
68.50, 14.74, 47.654766, 
68.57, 15.15, 47.673939, 
70.23, 15.25, 47.693264, 
70.28, 16.16, 47.712578, 
64.65, 15.52, 47.735208, 
77.55, 17.45, 47.754737, 
59.05, 14.26, 47.774646, 
59.99, 13.98, 47.794489, 
61.37, 13.61, 47.814047, 
59.10, 12.57, 47.833560, 
59.89, 12.51, 47.854273, 
58.68, 13.05, 47.874294, 
61.06, 12.47, 47.893996, 
60.39, 12.88, 47.913537, 
58.77, 11.76, 47.933740, 
61.57, 12.31, 47.953252, 
59.63, 12.91, 47.972765, 
57.52, 12.31, 47.993571, 
56.72, 13.94, 48.013275, 
65.48, 15.09, 48.032976, 
66.61, 15.01, 48.052698, 
64.82, 15.36, 48.071904, 
64.86, 14.52, 48.091626, 
65.53, 16.24, 48.110625, 
66.35, 15.52, 48.130480, 
73.15, 18.89, 48.150011, 
60.27, 14.45, 48.169730, 
58.26, 14.11, 48.189719, 
59.59, 14.06, 48.208983, 
57.94, 13.97, 48.228184, 
57.54, 12.27, 48.247775, 
58.89, 13.17, 48.268280, 
55.08, 12.06, 48.288206, 
58.13, 12.62, 48.308272, 
57.55, 12.75, 48.328499, 
57.23, 12.27, 48.348492, 
57.84, 12.58, 48.368468, 
58.16, 12.14, 48.388177, 
56.20, 12.91, 48.408020, 
55.62, 14.72, 48.427291, 
62.46, 14.72, 48.446865, 
62.42, 14.98, 48.466121, 
62.06, 15.37, 48.485548, 
63.60, 14.81, 48.504966, 
63.41, 15.52, 48.524324, 
65.23, 16.53, 48.543730, 
59.47, 17.59, 48.567158, 
69.85, 14.68, 48.586653, 
56.73, 13.54, 48.606226, 
55.17, 14.41, 48.625797, 
57.16, 13.99, 48.644903, 
55.58, 12.56, 48.663837, 
55.77, 13.19, 48.683778, 
55.21, 12.90, 48.702440, 
57.86, 12.23, 48.721038, 
56.27, 12.60, 48.739484, 
56.80, 11.96, 48.758061, 
57.05, 12.20, 48.776666, 
54.76, 12.43, 48.795587, 
55.90, 12.61, 48.815875, 
49.24, 14.31, 48.835971, 
58.76, 15.18, 48.854403, 
68.79, 14.87, 48.872835, 
69.03, 15.20, 48.891266, 
67.34, 15.64, 48.908959, 
69.18, 14.87, 48.926911, 
66.50, 15.47, 48.945404, 
67.37, 16.75, 48.963884, 
64.46, 15.16, 48.982738, 
73.05, 17.71, 49.001725, 
59.82, 13.90, 49.020698, 
60.42, 14.15, 49.039914, 
57.07, 13.73, 49.059321, 
55.10, 12.13, 49.078342, 
57.38, 13.23, 49.098892, 
55.02, 13.20, 49.117908, 
60.75, 12.25, 49.136975, 
56.89, 12.09, 49.155536, 
55.48, 12.47, 49.174304, 
57.20, 12.78, 49.192898, 
55.67, 12.24, 49.211352, 
55.95, 12.62, 49.231073, 
51.43, 13.52, 49.250826, 
63.30, 14.91, 49.270043, 
61.64, 15.33, 49.289468, 
63.74, 15.12, 49.309101, 
61.12, 14.19, 49.328314, 
61.53, 15.52, 49.347719, 
63.46, 15.83, 49.366617, 
60.28, 15.81, 49.386874, 
64.64, 17.90, 49.408646, 
63.17, 14.09, 49.428844, 
57.36, 13.73, 49.449423, 
57.11, 14.19, 49.470028, 
59.79, 12.32, 49.489958, 
55.80, 13.40, 49.509640, 
58.13, 12.71, 49.529751, 
56.12, 12.67, 49.549656, 
57.37, 12.63, 49.569507, 
58.06, 12.24, 49.589863, 
56.76, 12.94, 49.609240, 
57.03, 12.28, 49.628913, 
57.30, 12.55, 49.650246, 
52.08, 14.28, 49.670858, 
65.10, 15.37, 49.690811, 
66.61, 15.23, 49.709909, 
64.81, 15.30, 49.729873, 
64.90, 14.89, 49.750081, 
64.87, 14.66, 49.770053, 
66.05, 16.23, 49.790048, 
65.51, 16.09, 49.809971, 
72.51, 17.94, 49.829858, 
60.58, 13.56, 49.849778, 
59.49, 14.65, 49.869691, 
59.34, 13.72, 49.889581, 
58.22, 12.50, 49.908999, 
57.85, 13.09, 49.929559, 
58.14, 12.63, 49.949439, 
58.71, 12.33, 49.969505, 
58.28, 12.35, 49.989189, 
56.88, 12.57, 50.008585, 
60.74, 12.31, 50.028150, 
57.91, 12.81, 50.047775, 
57.86, 12.83, 50.068734, 
57.28, 14.42, 50.088765, 
67.66, 15.01, 50.108072, 
68.92, 15.11, 50.127416, 
70.16, 15.31, 50.146887, 
68.37, 14.73, 50.166329, 
70.17, 15.51, 50.185744, 
70.23, 16.57, 50.205211, 
69.21, 15.13, 50.226972, 
72.00, 18.16, 50.246858, 
59.94, 13.92, 50.266879, 
59.81, 14.21, 50.286934, 
59.97, 13.87, 50.306619, 
59.42, 12.09, 50.326574, 
59.27, 13.35, 50.346818, 
58.75, 12.75, 50.366513, 
58.54, 11.87, 50.386169, 
58.81, 12.11, 50.405980, 
60.31, 12.74, 50.425807, 
59.65, 12.26, 50.445938, 
59.35, 12.62, 50.465691, 
56.86, 12.90, 50.486288, 
60.12, 14.92, 50.507050, 
65.30, 15.33, 50.527858, 
62.28, 14.85, 50.548719, 
64.86, 15.30, 50.569520, 
64.63, 15.30, 50.590391, 
64.88, 15.86, 50.611222, 
65.52, 15.77, 50.631963, 
73.46, 18.25, 50.651407, 
60.07, 14.34, 50.671259, 
58.59, 13.69, 50.691471, 
60.19, 14.15, 50.711270, 
57.15, 12.77, 50.731052, 
57.29, 13.28, 50.750952, 
57.99, 12.99, 50.771055, 
57.55, 12.60, 50.790881, 
58.79, 12.21, 50.810322, 
56.36, 12.57, 50.830004, 
57.98, 12.18, 50.849692, 
55.77, 13.03, 50.869538, 
55.58, 12.23, 50.890006, 
54.24, 13.45, 50.910381, 
63.47, 15.82, 50.929806, 
69.92, 14.91, 50.949238, 
69.91, 14.90, 50.968666, 
68.44, 15.10, 50.988029, 
70.16, 14.91, 51.007438, 
68.69, 14.96, 51.026882, 
69.88, 16.71, 51.046672, 
77.48, 17.84, 51.066193, 
62.45, 14.29, 51.086175, 
59.32, 13.98, 51.106000, 
61.50, 14.33, 51.125760, 
60.77, 12.82, 51.145468, 
58.75, 12.74, 51.165456, 
59.27, 13.15, 51.185578, 
59.54, 11.93, 51.205594, 
60.40, 12.29, 51.225554, 
60.24, 12.59, 51.244790, 
59.20, 12.26, 51.264823, 
59.96, 12.70, 51.284390, 
59.48, 12.06, 51.304542, 
54.69, 14.18, 51.325285, 
63.70, 15.27, 51.345236, 
63.28, 14.93, 51.365425, 
65.85, 15.31, 51.385241, 
65.65, 15.26, 51.405403, 
65.46, 14.85, 51.425642, 
67.54, 16.22, 51.445625, 
65.73, 15.68, 51.466268, 
73.00, 18.19, 51.486137, 
64.05, 14.20, 51.505722, 
61.63, 13.94, 51.525671, 
59.62, 14.18, 51.545831, 
61.15, 12.70, 51.565521, 
58.35, 13.28, 51.585927, 
58.49, 12.98, 51.606035, 
58.17, 12.59, 51.625828, 
59.71, 12.33, 51.645818, 
58.86, 12.66, 51.665689, 
58.07, 12.62, 51.685557, 
59.11, 12.04, 51.705502, 
58.15, 13.34, 51.726147, 
57.00, 14.55, 51.745383, 
66.52, 14.61, 51.764810, 
70.51, 15.41, 51.784083, 
70.50, 15.05, 51.803468, 
68.81, 14.62, 51.822916, 
70.38, 14.83, 51.842280, 
68.73, 16.96, 51.861655, 
65.48, 16.08, 51.883649, 
72.90, 16.69, 51.903521, 
60.62, 14.13, 51.923470, 
58.75, 14.20, 51.943391, 
60.32, 14.22, 51.963118, 
59.95, 12.43, 51.982787, 
58.05, 13.22, 52.003524, 
57.49, 12.96, 52.023274, 
58.54, 12.42, 52.043028, 
56.11, 12.50, 52.062719, 
57.23, 12.74, 52.082070, 
56.01, 12.11, 52.102090, 
57.14, 12.65, 52.122520, 
57.31, 12.85, 52.143699, 
55.49, 14.66, 52.163848, 
63.67, 14.57, 52.183990, 
64.25, 15.37, 52.203836, 
64.33, 15.14, 52.224253, 
63.86, 15.24, 52.243901, 
63.38, 15.54, 52.263853, 
64.85, 15.92, 52.283744, 
71.69, 18.47, 52.303743, 
62.32, 14.22, 52.323570, 
58.80, 14.06, 52.343360, 
58.95, 13.75, 52.363346, 
58.91, 13.35, 52.383549, 
57.47, 12.51, 52.403492, 
58.37, 13.67, 52.423689, 
57.13, 12.92, 52.443045, 
58.17, 12.55, 52.462755, 
57.43, 12.49, 52.482376, 
56.40, 12.52, 52.501913, 
57.92, 12.53, 52.521552, 
55.93, 12.24, 52.541145, 
54.04, 12.71, 52.562551, 
54.12, 14.89, 52.583033, 
68.30, 15.14, 52.602416, 
68.42, 15.38, 52.621807, 
69.61, 14.88, 52.641194, 
69.91, 15.38, 52.660534, 
68.48, 15.82, 52.679800, 
70.18, 15.41, 52.699155, 
65.11, 17.29, 52.721606, 
73.25, 15.72, 52.741568, 
60.61, 13.64, 52.761494, 
60.69, 13.93, 52.781515, 
58.84, 13.49, 52.801593, 
58.17, 12.53, 52.821677, 
57.98, 13.93, 52.841526, 
57.73, 12.15, 52.861203, 
58.61, 12.88, 52.880672, 
57.64, 12.46, 52.900657, 
57.41, 12.16, 52.920151, 
56.08, 12.63, 52.939542, 
56.56, 12.59, 52.959030, 
55.64, 12.91, 52.980162, 
57.14, 14.53, 53.000100, 
65.40, 15.41, 53.020008, 
65.64, 15.35, 53.039966, 
63.12, 15.17, 53.060097, 
66.75, 14.98, 53.080070, 
63.31, 15.58, 53.100051, 
65.39, 16.11, 53.120228, 
70.35, 17.46, 53.140249, 
60.60, 14.00, 53.160099, 
59.33, 13.98, 53.180114, 
59.38, 14.29, 53.200121, 
59.08, 13.15, 53.219654, 
57.51, 12.16, 53.239629, 
57.98, 13.17, 53.259816, 
57.21, 12.60, 53.279674, 
57.00, 12.46, 53.299233, 
56.89, 12.83, 53.318861, 
56.05, 12.29, 53.338583, 
56.88, 12.13, 53.359087, 
58.36, 12.50, 53.379667, 
50.91, 13.85, 53.400713, 
59.66, 15.14, 53.420624, 
63.56, 14.68, 53.440846, 
64.22, 15.11, 53.461076, 
63.92, 15.27, 53.480954, 
64.78, 14.97, 53.500786, 
66.38, 16.08, 53.520759, 
65.42, 16.04, 53.540929, 
69.24, 18.29, 53.560702, 
60.43, 14.01, 53.580831, 
60.42, 13.81, 53.598655, 
56.96, 14.61, 53.617507, 
56.15, 13.09, 53.636084, 
63.34, 12.17, 53.654699, 
55.50, 13.43, 53.673561, 
58.39, 12.12, 53.692846, 
58.64, 12.44, 53.713061, 
56.52, 13.20, 53.733564, 
56.44, 12.08, 53.754570, 
60.07, 12.79, 53.774158, 
60.65, 12.35, 53.794326, 
52.27, 13.56, 53.815742, 
60.60, 15.34, 53.835014, 
68.56, 15.31, 53.854233, 
68.45, 15.07, 53.873511, 
70.27, 14.29, 53.892788, 
70.70, 15.16, 53.912017, 
69.02, 15.80, 53.931256, 
68.72, 16.44, 53.950498, 
71.53, 17.33, 53.970227, 
72.11, 14.49, 53.989447, 
66.03, 13.74, 54.008653, 
67.33, 14.64, 54.027760, 
66.45, 13.73, 54.046808, 
64.92, 12.50, 54.065909, 
63.92, 13.23, 54.084980, 
64.51, 12.61, 54.103924, 
64.94, 11.22, 54.122977, 
63.94, 12.55, 54.142033, 
61.50, 12.55, 54.161975, 
60.01, 12.18, 54.181946, 
58.59, 12.17, 54.202078, 
57.54, 13.29, 54.222725, 
56.50, 14.29, 54.242829, 
62.04, 14.94, 54.263246, 
58.79, 15.71, 54.284007, 
61.11, 14.51, 54.304810, 
61.33, 15.38, 54.325490, 
57.78, 15.25, 54.346242, 
61.06, 14.96, 54.367186, 
73.28, 18.49, 54.387717, 
56.88, 14.15, 54.408950, 
58.54, 13.77, 54.429479, 
55.55, 14.13, 54.450424, 
54.71, 12.87, 54.472414, 
56.27, 12.67, 54.493695, 
57.25, 12.84, 54.513319, 
55.26, 12.18, 54.534486, 
54.08, 12.31, 54.556571, 
55.30, 12.12, 54.578829, 
56.62, 13.01, 54.599054, 
55.64, 12.31, 54.620633, 
55.63, 12.92, 54.641181, 
52.92, 15.02, 54.661209, 
61.59, 14.91, 54.681859, 
62.87, 14.78, 54.702665, 
60.34, 14.85, 54.724472, 
63.01, 15.08, 54.746443, 
64.38, 16.39, 54.766627, 
60.35, 16.38, 54.787019, 
74.88, 17.87, 54.806502, 
60.46, 14.14, 54.828176, 
56.35, 13.94, 54.848048, 
53.05, 14.19, 54.869583, 
59.01, 12.43, 54.890968, 
60.66, 12.77, 54.911247, 
56.67, 12.53, 54.932488, 
58.85, 12.81, 54.952794, 
56.85, 12.20, 54.974178, 
58.84, 12.79, 54.994514, 
55.14, 12.68, 55.015300, 
58.60, 12.54, 55.036337, 
57.49, 13.12, 55.056683, 
57.31, 15.14, 55.075901, 
68.51, 15.14, 55.094941, 
69.10, 15.19, 55.114057, 
68.25, 15.28, 55.133220, 
68.25, 15.04, 55.152268, 
68.20, 15.49, 55.171330, 
68.21, 16.27, 55.190492, 
65.64, 15.37, 55.211750, 
71.23, 17.90, 55.231547, 
58.74, 13.41, 55.252162, 
57.79, 14.54, 55.272793, 
57.21, 13.79, 55.293575, 
60.50, 12.21, 55.314106, 
56.10, 13.36, 55.335544, 
59.72, 12.89, 55.355813, 
55.83, 11.76, 55.376648, 
59.60, 12.60, 55.397067, 
56.68, 11.99, 55.418212, 
58.48, 12.48, 55.438692, 
55.18, 12.86, 55.459211, 
55.11, 13.20, 55.480158, 
62.45, 14.84, 55.500516, 
62.43, 14.49, 55.521063, 
64.64, 15.56, 55.541693, 
62.08, 15.36, 55.562294, 
65.62, 15.01, 55.582528, 
63.28, 15.58, 55.602926, 
65.80, 15.43, 55.623632, 
78.85, 18.21, 55.643682, 
59.02, 13.76, 55.663821, 
58.34, 13.75, 55.683845, 
58.95, 14.12, 55.703900, 
58.41, 12.56, 55.723959, 
58.10, 12.94, 55.744657, 
58.74, 13.09, 55.765301, 
55.32, 12.33, 55.785515, 
58.01, 12.06, 55.805921, 
59.26, 12.46, 55.826680, 
55.32, 12.64, 55.846568, 
59.14, 12.46, 55.866962, 
55.84, 12.57, 55.888257, 
56.31, 15.55, 55.908166, 
67.99, 15.21, 55.927420, 
69.79, 15.10, 55.946688, 
68.06, 14.97, 55.966016, 
67.62, 15.93, 55.985350, 
67.95, 15.43, 56.004673, 
72.44, 16.06, 56.023918, 
62.94, 17.50, 56.047002, 
76.99, 14.50, 56.066851, 
59.47, 13.77, 56.087220, 
57.35, 14.69, 56.107499, 
57.40, 13.26, 56.127751, 
60.29, 12.15, 56.147877, 
56.80, 13.66, 56.168299, 
57.15, 12.35, 56.188530, 
58.19, 12.64, 56.208185, 
59.43, 12.15, 56.228602, 
56.88, 12.66, 56.248879, 
56.97, 12.45, 56.269032, 
57.89, 12.65, 56.289401, 
55.66, 13.40, 56.310393, 
62.17, 15.51, 56.330568, 
64.11, 15.01, 56.350497, 
64.27, 15.05, 56.371129, 
61.53, 15.31, 56.391209, 
63.90, 15.49, 56.411059, 
66.48, 15.87, 56.430956, 
64.16, 15.52, 56.451870, 
75.83, 18.34, 56.471329, 
63.91, 14.49, 56.490623, 
63.98, 14.28, 56.509882, 
61.44, 13.74, 56.529880, 
59.09, 12.85, 56.549844, 
57.65, 12.88, 56.569815, 
58.26, 12.93, 56.589889, 
59.12, 12.26, 56.609871, 
59.61, 12.29, 56.629806, 
58.79, 12.21, 56.650025, 
57.43, 12.67, 56.670375, 
60.11, 12.01, 56.690764, 
56.24, 12.36, 56.711044, 
57.94, 14.49, 56.730797, 
69.78, 14.94, 56.749997, 
68.49, 15.00, 56.769310, 
68.16, 15.88, 56.788604, 
68.11, 14.62, 56.807865, 
72.00, 14.95, 56.827155, 
68.35, 15.89, 56.846417, 
65.13, 15.99, 56.866413, 
75.35, 17.84, 56.886203, 
59.91, 13.70, 56.906530, 
58.21, 13.67, 56.926328, 
60.49, 13.84, 56.946592, 
57.47, 12.73, 56.966826, 
57.72, 13.15, 56.986729, 
58.89, 12.60, 57.006990, 
57.93, 11.88, 57.027228, 
58.93, 12.49, 57.047240, 
57.77, 12.71, 57.067819, 
58.82, 12.31, 57.088021, 
56.83, 12.64, 57.108635, 
58.55, 12.42, 57.129363, 
52.49, 14.40, 57.150386, 
63.75, 14.82, 57.170621, 
64.03, 15.20, 57.190472, 
65.35, 15.26, 57.210398, 
64.81, 14.41, 57.230837, 
63.05, 15.77, 57.250724, 
65.98, 16.11, 57.270798, 
70.62, 18.01, 57.291996, 
62.10, 14.87, 57.312206, 
60.34, 13.98, 57.332589, 
58.19, 13.99, 57.352823, 
57.65, 13.70, 57.373171, 
56.39, 12.15, 57.393192, 
58.82, 13.27, 57.414189, 
57.64, 12.48, 57.434307, 
57.90, 12.54, 57.454229, 
57.68, 12.65, 57.474833, 
60.35, 12.35, 57.494945, 
57.68, 12.49, 57.515099, 
55.69, 12.30, 57.535627, 
55.45, 13.11, 57.556370, 
60.53, 15.04, 57.575416, 
68.88, 15.30, 57.594282, 
67.17, 15.40, 57.613207, 
69.17, 15.30, 57.632015, 
69.06, 15.03, 57.650974, 
66.73, 15.42, 57.669913, 
68.63, 16.18, 57.688971, 
70.67, 17.60, 57.709861, 
66.80, 14.84, 57.729553, 
59.74, 13.88, 57.749560, 
59.25, 14.20, 57.769591, 
57.81, 13.48, 57.789585, 
58.86, 12.19, 57.809650, 
60.24, 13.64, 57.829934, 
57.13, 12.40, 57.850468, 
56.58, 11.99, 57.870891, 
58.62, 12.50, 57.891534, 
55.43, 11.85, 57.912349, 
59.14, 12.08, 57.932467, 
57.34, 12.40, 57.952724, 
54.01, 13.28, 57.973326, 
59.71, 14.47, 57.993520, 
62.81, 14.80, 58.013714, 
60.30, 15.39, 58.034160, 
63.12, 15.00, 58.054649, 
60.86, 14.65, 58.075567, 
62.45, 16.16, 58.095830, 
62.69, 15.90, 58.115837, 
70.31, 17.65, 58.135234, 
54.69, 14.85, 58.155171, 
57.04, 13.80, 58.175394, 
56.27, 14.51, 58.195604, 
56.20, 12.56, 58.215239, 
56.46, 13.12, 58.235121, 
56.25, 12.48, 58.255238, 
53.40, 12.03, 58.276488, 
55.45, 11.85, 58.297679, 
57.31, 12.08, 58.317602, 
56.28, 12.54, 58.338329, 
56.63, 12.68, 58.359602, 
57.62, 12.46, 58.380895, 
52.13, 14.35, 58.401480, 
63.59, 15.32, 58.421623, 
63.05, 14.77, 58.441955, 
61.97, 15.22, 58.462663, 
65.13, 14.68, 58.483104, 
60.88, 15.36, 58.503242, 
61.83, 16.51, 58.523644, 
69.22, 18.32, 58.545060, 
62.35, 14.70, 58.565131, 
55.40, 13.75, 58.586634, 
59.58, 14.20, 58.606617, 
53.75, 13.57, 58.627440, 
55.92, 12.26, 58.648819, 
55.95, 13.05, 58.669614, 
55.19, 12.21, 58.689895, 
55.41, 12.82, 58.710669, 
56.32, 12.25, 58.732267, 
55.87, 12.45, 58.753810, 
56.51, 12.88, 58.773874, 
54.93, 12.86, 58.794787, 
49.13, 13.96, 58.815434, 
62.63, 15.65, 58.834392, 
68.37, 14.36, 58.853305, 
66.68, 15.35, 58.872227, 
66.21, 15.23, 58.891168, 
68.55, 15.45, 58.909763, 
69.63, 16.16, 58.928782, 
68.16, 16.53, 58.947768, 
71.90, 17.81, 58.966815, 
58.02, 13.61, 58.986830, 
55.57, 13.27, 59.007975, 
56.08, 14.35, 59.029605, 
56.98, 12.91, 59.049470, 
55.61, 12.89, 59.070104, 
55.58, 12.94, 59.091088, 
54.94, 12.63, 59.111437, 
55.83, 11.48, 59.132801, 
56.90, 12.00, 59.152893, 
53.87, 12.51, 59.174338, 
59.34, 12.72, 59.194145, 
53.47, 12.58, 59.215153, 
51.71, 14.57, 59.236040, 
62.05, 14.84, 59.256616, 
64.20, 15.38, 59.276634, 
60.59, 15.06, 59.296926, 
63.21, 15.27, 59.317094, 
61.29, 15.09, 59.337066, 
62.29, 15.41, 59.356992, 
61.32, 14.99, 59.378963, 
70.90, 18.19, 59.398847, 
54.68, 13.73, 59.419758, 
56.46, 13.92, 59.441092, 
57.21, 13.15, 59.462373, 
56.17, 12.75, 59.482178, 
53.93, 13.33, 59.502765, 
54.95, 12.59, 59.524236, 
56.88, 11.97, 59.545741, 
57.82, 12.05, 59.565745, 
57.22, 12.22, 59.586452, 
54.74, 12.37, 59.607923, 
58.32, 12.92, 59.628854, 
55.44, 14.32, 59.648827, 
63.23, 14.81, 59.669045, 
63.66, 15.00, 59.689418, 
63.82, 16.14, 59.709151, 
65.10, 14.72, 59.729463, 
62.68, 14.85, 59.749627, 
64.31, 15.94, 59.770111, 
63.38, 15.67, 59.792187, 
71.89, 17.03, 59.812348, 
58.54, 14.04, 59.832514, 
59.84, 13.75, 59.852792, 
57.22, 13.60, 59.873006, 
56.85, 11.97, 59.893501, 
59.70, 13.49, 59.914036, 
54.65, 12.39, 59.934411, 
56.71, 12.80, 59.955022, 
60.19, 12.34, 59.975332, 
56.62, 12.38, 59.995708, 
58.59, 12.57, 60.016130, 
57.67, 12.24, 60.036566, 
54.70, 13.43, 60.056789, 
59.84, 15.23, 60.075741, 
69.27, 14.64, 60.094663, 
67.50, 15.45, 60.113542, 
69.56, 15.28, 60.132466, 
69.47, 15.01, 60.151332, 
69.47, 15.86, 60.170256, 
69.06, 15.34, 60.189256, 
62.65, 15.89, 60.211806, 
73.10, 16.81, 60.231844, 
58.27, 13.55, 60.252646, 
57.83, 14.60, 60.273006, 
55.42, 13.50, 60.293319, 
55.18, 12.36, 60.314281, 
59.30, 13.09, 60.334576, 
56.74, 12.50, 60.355168, 
57.95, 12.31, 60.376112, 
57.86, 12.06, 60.396830, 
57.48, 12.63, 60.417137, 
56.05, 12.22, 60.437741, 
54.36, 12.52, 60.459455, 
54.65, 14.05, 60.479949, 
58.34, 15.01, 60.500177, 
64.92, 15.27, 60.520599, 
63.93, 14.87, 60.541151, 
61.19, 15.27, 60.561266, 
65.03, 15.50, 60.581508, 
65.59, 15.96, 60.601649, 
64.17, 15.73, 60.621892, 
69.47, 17.54, 60.642106, 
55.42, 14.28, 60.663279, 
56.83, 13.88, 60.684335, 
58.39, 13.67, 60.704680, 
58.31, 12.54, 60.725347, 
57.30, 13.09, 60.746551, 
58.58, 12.45, 60.765965, 
58.05, 11.90, 60.787175, 
56.85, 12.70, 60.808270, 
57.88, 12.27, 60.829792, 
59.37, 12.66, 60.849663, 
57.30, 11.92, 60.870400, 
56.50, 13.23, 60.891062, 
61.29, 15.15, 60.910042, 
69.04, 15.20, 60.928975, 
71.13, 15.17, 60.947831, 
70.95, 15.50, 60.966761, 
71.08, 15.25, 60.985576, 
70.90, 15.93, 61.004495, 
69.05, 15.97, 61.023500, 
74.68, 17.88, 61.045571, 
64.84, 14.35, 61.064991, 
59.75, 13.16, 61.084895, 
59.58, 13.69, 61.104879, 
60.01, 14.03, 61.124704, 
57.57, 12.92, 61.144544, 
59.40, 13.27, 61.164802, 
57.89, 12.71, 61.184738, 
59.48, 12.27, 61.204588, 
59.85, 12.37, 61.224399, 
59.96, 12.43, 61.244179, 
58.19, 12.66, 61.263946, 
58.17, 12.72, 61.283800, 
58.31, 12.13, 61.303621, 
56.19, 15.15, 61.323567, 
63.53, 14.80, 61.343537, 
64.76, 15.08, 61.363901, 
63.81, 15.25, 61.384288, 
62.29, 15.25, 61.404582, 
64.14, 15.69, 61.424587, 
64.04, 15.66, 61.444681, 
70.91, 18.26, 61.465325, 
62.70, 14.41, 61.485384, 
58.20, 13.18, 61.505469, 
56.44, 13.62, 61.526347, 
59.52, 13.54, 61.546654, 
55.63, 12.52, 61.567244, 
57.42, 13.36, 61.588087, 
56.35, 12.52, 61.608620, 
58.36, 12.26, 61.628999, 
55.05, 12.50, 61.649785, 
57.66, 12.32, 61.670620, 
57.91, 12.59, 61.690961, 
55.44, 12.27, 61.711523, 
