GPU_Power(W),Time(S), 
19,5.601478, 
19,5.617469, 
19,5.633293, 
19,5.649099, 
19,5.664884, 
19,5.680718, 
19,5.696558, 
19,5.712406, 
19,5.728182, 
19,5.744014, 
19,5.759859, 
19,5.775701, 
19,5.791842, 
19,5.807666, 
19,5.823483, 
19,5.839302, 
19,5.855134, 
19,5.870894, 
19,5.886701, 
19,5.902532, 
19,5.918352, 
19,5.934171, 
19,5.950018, 
19,5.96582, 
19,5.981716, 
19,5.997575, 
19,6.013437, 
19,6.029304, 
19,6.045162, 
19,6.061007, 
19,6.076847, 
19,6.092693, 
19,6.10853, 
19,6.124372, 
19,6.140196, 
19,6.156037, 
19,6.171886, 
19,6.18773, 
19,6.203566, 
19,6.219405, 
19,6.23525, 
19,6.251096, 
19,6.266871, 
19,6.282676, 
19,6.298395, 
19,6.314145, 
19,6.329912, 
19,6.34576, 
19,6.361502, 
19,6.37733, 
19,6.393306, 
19,6.40912, 
19,6.424907, 
19,6.440643, 
19,6.45641, 
19,6.472199, 
19,6.488032, 
19,6.503763, 
19,6.519538, 
19,6.535318, 
19,6.552395, 
19,6.568183, 
19,6.584057, 
19,6.59982, 
19,6.615557, 
19,6.631368, 
19,6.647133, 
19,6.662915, 
19,6.678698, 
19,6.694545, 
19,6.710341, 
19,6.726041, 
19,6.741799, 
19,6.757601, 
19,6.773483, 
19,6.789435, 
19,6.80521, 
19,6.820978, 
19,6.836756, 
19,6.852542, 
19,6.868251, 
19,6.884034, 
19,6.899859, 
19,6.915645, 
19,6.931382, 
19,6.947188, 
19,6.962934, 
19,6.978981, 
19,6.994932, 
19,7.010745, 
19,7.026511, 
19,7.042357, 
19,7.058149, 
19,7.073926, 
19,7.089762, 
19,7.105528, 
19,7.121351, 
19,7.137199, 
19,7.153036, 
19,7.168881, 
19,7.184732, 
19,7.200589, 
19,7.216361, 
19,7.232181, 
19,7.248158, 
19,7.264045, 
19,7.279887, 
19,7.295737, 
19,7.311605, 
19,7.327467, 
19,7.343292, 
19,7.359067, 
19,7.374901, 
19,7.390918, 
19,7.406744, 
19,7.422569, 
19,7.438413, 
19,7.454262, 
19,7.47006, 
19,7.485898, 
19,7.501758, 
19,7.517601, 
19,7.533459, 
19,7.549321, 
19,7.566272, 
19,7.582125, 
19,7.598155, 
19,7.613958, 
19,7.62979, 
19,7.646423, 
19,7.662293, 
19,7.678138, 
19,7.694003, 
19,7.709943, 
19,7.725821, 
19,7.741742, 
19,7.757681, 
19,7.773555, 
19,7.789428, 
19,7.805264, 
19,7.821078, 
19,7.836961, 
19,7.852862, 
19,7.868697, 
19,7.884514, 
19,7.900375, 
19,7.916223, 
19,7.93207, 
19,7.947805, 
19,7.963591, 
19,7.97949, 
19,7.995536, 
19,8.011385, 
19,8.027229, 
19,8.043074, 
19,8.058871, 
19,8.074695, 
19,8.090566, 
19,8.106401, 
19,8.122227, 
19,8.138079, 
19,8.154022, 
19,8.169935, 
19,8.185774, 
19,8.201615, 
19,8.217471, 
19,8.233341, 
19,8.24918, 
19,8.265059, 
19,8.280895, 
19,8.296752, 
19,8.312556, 
19,8.328387, 
19,8.344253, 
19,8.360109, 
19,8.375932, 
19,8.391969, 
19,8.407759, 
19,8.423586, 
19,8.439396, 
19,8.455262, 
19,8.471154, 
19,8.48704, 
19,8.502835, 
19,8.518668, 
19,8.534508, 
19,8.550388, 
19,8.568139, 
19,8.583875, 
19,8.599906, 
19,10.104818, 
19,10.122361, 
19,10.140055, 
19,10.15788, 
19,10.175539, 
19,10.193153, 
19,10.210701, 
19,10.226645, 
19,10.256209, 
19,10.272067, 
23,10.2894, 
23,10.305071, 
23,10.320736, 
41,10.338287, 
41,10.353999, 
41,10.369781, 
41,10.385623, 
41,10.401424, 
41,10.417159, 
59,10.435951, 
59,10.45175, 
59,10.467558, 
59,10.483369, 
59,10.499085, 
59,10.514837, 
59,10.530618, 
67,10.546399, 
67,10.562118, 
67,10.577811, 
67,10.593596, 
67,10.609378, 
67,10.625101, 
70,10.640965, 
70,10.656743, 
70,10.672573, 
70,10.688368, 
70,10.704192, 
70,10.719943, 
71,10.737498, 
71,10.753314, 
71,10.769079, 
71,10.784888, 
71,10.800672, 
71,10.816469, 
71,10.832158, 
72,10.849475, 
72,10.865277, 
72,10.881075, 
72,10.896752, 
72,10.912497, 
72,10.92826, 
72,10.945705, 
72,10.961494, 
72,10.977338, 
72,10.993134, 
72,11.008895, 
72,11.024658, 
72,11.042135, 
72,11.057835, 
72,11.073643, 
72,11.089528, 
72,11.105313, 
72,11.12107, 
72,11.138233, 
72,11.154036, 
72,11.169816, 
72,11.185794, 
72,11.201532, 
72,11.217373, 
72,11.23707, 
72,11.252768, 
72,11.268506, 
72,11.28427, 
72,11.30001, 
72,11.315747, 
72,11.331497, 
72,11.348991, 
72,11.364804, 
72,11.380753, 
72,11.396476, 
72,11.41222, 
72,11.427977, 
72,11.445431, 
72,11.461094, 
72,11.4768, 
72,11.492545, 
72,11.508326, 
72,11.524075, 
72,11.541467, 
72,11.557302, 
72,11.573091, 
72,11.588841, 
72,11.604581, 
72,11.620339, 
72,11.637524, 
72,11.653338, 
72,11.669114, 
72,11.684891, 
72,11.700657, 
72,11.716439, 
72,11.732223, 
72,11.7497, 
72,11.76546, 
72,11.781265, 
72,11.797015, 
72,11.81276, 
72,11.828538, 
72,11.846107, 
72,11.861834, 
72,11.87761, 
72,11.893386, 
72,11.909213, 
72,11.925005, 
72,11.942258, 
72,11.95805, 
72,11.973797, 
72,11.989594, 
72,12.005364, 
72,12.021102, 
72,12.038285, 
72,12.054112, 
72,12.069829, 
72,12.085546, 
72,12.101267, 
72,12.116992, 
72,12.136472, 
72,12.152186, 
72,12.167903, 
72,12.183646, 
72,12.199359, 
72,12.215065, 
72,12.230788, 
72,12.246531, 
72,12.262283, 
72,12.278042, 
72,12.29376, 
72,12.309526, 
72,12.32536, 
72,12.341077, 
72,12.356824, 
72,12.372509, 
72,12.388244, 
72,12.404029, 
72,12.419787, 
72,12.437107, 
72,12.452856, 
72,12.468599, 
72,12.484341, 
72,12.5001, 
72,12.515773, 
72,12.531489, 
72,12.548847, 
72,12.564595, 
72,12.58033, 
72,12.596095, 
72,12.611841, 
72,12.627573, 
72,12.644863, 
72,12.660551, 
72,12.676264, 
72,12.69207, 
72,12.707816, 
72,12.723548, 
72,12.741119, 
72,12.75688, 
72,12.772618, 
72,12.788301, 
72,12.803994, 
72,12.819752, 
72,12.837071, 
72,12.852843, 
72,12.868596, 
72,12.884351, 
72,12.900298, 
72,12.916056, 
72,12.931753, 
72,12.949001, 
72,12.964767, 
72,12.980584, 
72,12.996407, 
72,13.012161, 
72,13.027911, 
72,13.045516, 
72,13.061429, 
72,13.077112, 
72,13.092876, 
72,13.108618, 
72,13.124349, 
72,13.141842, 
72,13.157746, 
72,13.173511, 
72,13.189295, 
72,13.205023, 
72,13.220714, 
72,13.237709, 
72,13.253467, 
72,13.269204, 
72,13.284997, 
72,13.300781, 
72,13.316563, 
72,13.332329, 
72,13.34987, 
72,13.365638, 
72,13.381472, 
72,13.397268, 
72,13.413011, 
72,13.428702, 
72,13.446116, 
72,13.461911, 
72,13.477719, 
72,13.493478, 
72,13.509265, 
72,13.525036, 
72,13.54233, 
72,13.558103, 
72,13.573842, 
72,13.589634, 
72,13.60546, 
72,13.621303, 
72,13.638761, 
72,13.654511, 
72,13.670282, 
72,13.686059, 
72,13.701816, 
72,13.71761, 
72,13.737202, 
72,13.753012, 
72,13.768813, 
72,13.784566, 
72,13.800319, 
72,13.816098, 
72,13.831885, 
72,13.849095, 
72,13.8649, 
72,13.880705, 
72,13.896508, 
72,13.912295, 
72,13.928054, 
72,13.945499, 
72,13.961427, 
72,13.9772, 
72,13.993035, 
72,14.008851, 
72,14.024662, 
72,14.041847, 
72,14.057896, 
72,14.073733, 
72,14.089524, 
72,14.105344, 
72,14.121115, 
72,14.138564, 
72,14.154373, 
72,14.17009, 
72,14.185822, 
72,14.201601, 
72,14.217394, 
73,14.236954, 
73,14.252752, 
73,14.268588, 
73,14.284412, 
73,14.300223, 
73,14.315962, 
73,14.331736, 
72,14.349118, 
72,14.364898, 
72,14.380698, 
72,14.396397, 
72,14.412156, 
72,14.42796, 
72,14.445413, 
72,14.4611, 
72,14.476809, 
72,14.492572, 
72,14.508343, 
72,14.524227, 
72,14.541629, 
72,14.557432, 
72,14.573195, 
72,14.588996, 
72,14.604781, 
72,14.620562, 
73,14.63802, 
73,14.653801, 
73,14.669562, 
73,14.68537, 
73,14.701177, 
73,14.717026, 
73,14.736665, 
73,14.752421, 
73,14.768197, 
73,14.783979, 
73,14.799743, 
73,14.815445, 
73,14.831228, 
72,14.847036, 
72,14.862765, 
72,14.878548, 
72,14.894305, 
72,14.910103, 
72,14.925797, 
72,14.941517, 
72,14.95732, 
72,14.973066, 
72,14.988817, 
72,15.004569, 
72,15.020349, 
72,15.037197, 
72,15.053008, 
72,15.068711, 
72,15.084445, 
72,15.100202, 
72,15.115963, 
72,15.131666, 
72,15.149011, 
72,15.164795, 
72,15.180548, 
72,15.1963, 
72,15.212062, 
72,15.22782, 
72,15.245314, 
72,15.261001, 
72,15.276745, 
72,15.292506, 
72,15.308247, 
72,15.323984, 
72,15.341341, 
72,15.357086, 
72,15.372825, 
72,15.388605, 
72,15.404328, 
72,15.420076, 
72,15.437425, 
72,15.453178, 
72,15.468856, 
72,15.4846, 
72,15.500356, 
72,15.516112, 
72,15.531827, 
72,15.549254, 
72,15.56501, 
72,15.580794, 
72,15.596554, 
72,15.612247, 
72,15.627951, 
72,15.645283, 
72,15.661011, 
72,15.676737, 
72,15.692497, 
72,15.70827, 
72,15.724005, 
72,15.741288, 
72,15.757017, 
72,15.772748, 
72,15.788524, 
72,15.80433, 
72,15.820064, 
72,15.837504, 
72,15.853301, 
72,15.869009, 
72,15.884723, 
72,15.900446, 
72,15.916179, 
72,15.931929, 
72,15.949209, 
72,15.964937, 
72,15.980734, 
72,15.996564, 
72,16.012321, 
72,16.02803, 
72,16.045511, 
72,16.061321, 
72,16.077085, 
72,16.092789, 
72,16.108504, 
72,16.12426, 
72,16.141613, 
72,16.157374, 
72,16.173131, 
72,16.188883, 
72,16.204676, 
72,16.220482, 
72,16.237882, 
72,16.253667, 
72,16.269498, 
72,16.285299, 
72,16.301036, 
72,16.316807, 
72,16.336694, 
72,16.352473, 
72,16.368229, 
72,16.383968, 
72,16.399702, 
72,16.415456, 
72,16.431238, 
72,16.446948, 
72,16.462702, 
72,16.478453, 
72,16.494202, 
72,16.509915, 
72,16.525698, 
72,16.541483, 
72,16.557289, 
72,16.573028, 
72,16.588787, 
72,16.604557, 
72,16.620344, 
72,16.637206, 
72,16.653018, 
72,16.668798, 
72,16.684553, 
72,16.700312, 
72,16.716069, 
72,16.731828, 
72,16.749366, 
72,16.765104, 
72,16.780854, 
72,16.796595, 
72,16.812359, 
72,16.828097, 
72,16.8455, 
72,16.86129, 
72,16.877015, 
72,16.89276, 
72,16.908444, 
72,16.924185, 
72,16.941527, 
72,16.957319, 
72,16.973043, 
72,16.988784, 
72,17.004525, 
72,17.020258, 
72,17.037623, 
72,17.05339, 
72,17.069151, 
72,17.084895, 
72,17.100651, 
72,17.116404, 
72,17.132165, 
72,17.149644, 
72,17.16542, 
72,17.181176, 
72,17.196933, 
72,17.21271, 
72,17.228496, 
72,17.245846, 
72,17.26167, 
72,17.27747, 
72,17.293278, 
72,17.309024, 
72,17.324718, 
72,17.342003, 
72,17.357743, 
72,17.373593, 
72,17.389298, 
72,17.405022, 
72,17.420796, 
72,17.438188, 
72,17.453938, 
72,17.469729, 
72,17.485487, 
72,17.501323, 
72,17.517109, 
72,17.536703, 
72,17.552458, 
72,17.56822, 
72,17.583971, 
72,17.599724, 
72,17.61552, 
72,17.631273, 
72,17.647026, 
72,17.662791, 
72,17.678549, 
72,17.6943, 
72,17.710091, 
72,17.725788, 
72,17.741558, 
72,17.757341, 
72,17.773081, 
72,17.788845, 
72,17.804539, 
72,17.820289, 
72,17.837361, 
72,17.853134, 
72,17.868816, 
72,17.884531, 
72,17.900285, 
72,17.916044, 
72,17.931826, 
72,17.949214, 
72,17.965007, 
72,17.980787, 
72,17.996554, 
72,18.012304, 
72,18.028056, 
72,18.04545, 
72,18.061204, 
72,18.076993, 
72,18.092755, 
72,18.108529, 
72,18.124309, 
72,18.141608, 
72,18.157363, 
72,18.173114, 
72,18.188876, 
72,18.204634, 
72,18.220387, 
72,18.237889, 
72,18.253693, 
72,18.269477, 
72,18.285168, 
72,18.30086, 
72,18.316595, 
72,18.332382, 
72,18.349779, 
72,18.365557, 
72,18.381297, 
72,18.397084, 
72,18.412908, 
72,18.428698, 
72,18.446041, 
72,18.461867, 
72,18.477683, 
72,18.493499, 
72,18.509213, 
72,18.524983, 
72,18.542288, 
72,18.558038, 
72,18.573823, 
72,18.589548, 
72,18.605387, 
72,18.621162, 
72,18.638535, 
72,18.654316, 
72,18.670071, 
72,18.685855, 
72,18.70166, 
72,18.717477, 
72,18.737009, 
72,18.752781, 
72,18.768612, 
72,18.784397, 
72,18.800199, 
72,18.815982, 
72,18.831741, 
72,18.849058, 
72,18.86484, 
72,18.880611, 
72,18.896392, 
72,18.91215, 
72,18.927932, 
72,18.945344, 
72,18.961116, 
72,18.976899, 
72,18.992577, 
72,19.008305, 
72,19.024019, 
72,19.041405, 
72,19.057078, 
72,19.072776, 
72,19.088495, 
72,19.104256, 
72,19.119959, 
72,19.137215, 
72,19.153035, 
72,19.168808, 
72,19.184606, 
72,19.200285, 
72,19.215999, 
72,19.231803, 
72,19.249368, 
72,19.265128, 
72,19.280908, 
72,19.296657, 
72,19.312432, 
72,19.328214, 
72,19.34558, 
72,19.361346, 
72,19.377074, 
72,19.392921, 
72,19.408698, 
72,19.424477, 
72,19.441896, 
72,19.457673, 
72,19.473461, 
72,19.489262, 
72,19.505011, 
72,19.520775, 
72,19.538182, 
72,19.554019, 
72,19.569901, 
72,19.585736, 
72,19.60153, 
72,19.617309, 
72,19.6372, 
72,19.653033, 
72,19.668814, 
72,19.684596, 
72,19.700321, 
72,19.716049, 
