CPU_Power(W),DRAM_Power(W),Time(S),
51.54,12.71,98.949094, 
54.64,12.73,98.969527, 
62.89,13.51,98.988849, 
58.38,12.8,99.009114, 
57.64,13.04,99.029295, 
59.54,13.15,99.048784, 
58.44,12.75,99.069244, 
53.63,12.67,99.089744, 
57.64,13.52,99.109623, 
62.07,12.91,99.129245, 
64.53,13.09,99.148982, 
54.89,12.77,99.169046, 
54.68,12.48,99.18947, 
57.86,12.94,99.210494, 
55.14,12.33,99.230721, 
61.04,12.3,99.250112, 
60.39,12.42,99.269769, 
65.27,12.86,99.288633, 
59.69,12.81,99.307512, 
60.59,12.81,99.327344, 
54.19,13.09,99.34731, 
59.98,12.59,99.367177, 
59.66,13.01,99.387634, 
57.83,12.75,99.406554, 
60.73,13.46,99.42676, 
51.22,12.61,99.447409, 
55.77,12.99,99.467706, 
44.53,12.61,99.487758, 
52.01,12.9,99.508601, 
62.61,13.01,99.529305, 
60.09,14.66,99.549632, 
63.18,15.24,99.569603, 
83.6,17.03,99.588897, 
64.74,14.48,99.608983, 
70.53,15.03,99.627983, 
82.78,15.91,99.648053, 
54.01,12.4,99.668971, 
55.94,12.75,99.690081, 
56.33,13.8,99.709487, 
64.02,14.1,99.729908, 
64.84,16.17,99.752654, 
77.22,14.73,99.771658, 
56.66,12.44,99.791221, 
55.54,13.17,99.811244, 
54.05,12.51,99.831245, 
51.08,12.7,99.851317, 
54.1,12.48,99.871895, 
54.07,12.64,99.892037, 
53.53,13.17,99.912784, 
58.08,13.03,99.933144, 
61.05,13,99.953322, 
52.25,12.3,99.973711, 
56.78,12.64,99.994015, 
53.4,13.02,100.01343, 
57.63,12.95,100.033146, 
55.48,11.97,100.053963, 
61.58,13.99,100.073706, 
58.72,14.25,100.093824, 
73.49,16.54,100.11837, 
64.25,13.37,100.137821, 
57.84,12.5,100.157973, 
49.7,12.82,100.178612, 
52.97,12.57,100.199247, 
52.94,13.27,100.219198, 
64.47,12.78,100.238634, 
64.9,14.59,100.258738, 
59.48,14.22,100.278042, 
76.32,17.05,100.297381, 
54.56,12.87,100.31745, 
54.28,12.58,100.337049, 
56.78,12.74,100.357301, 
59.39,13,100.377423, 
54.3,12.43,100.397956, 
47.21,12.57,100.419045, 
58.43,12.92,100.439577, 
52.24,12.38,100.460498, 
59.14,12.88,100.480314, 
56.53,13.15,100.500952, 
58.73,12.85,100.51986, 
67.87,12.78,100.538922, 
60.66,12.58,100.558139, 
64.64,14.3,100.577759, 
61.63,13.74,100.597394, 
54.55,13.68,100.618515, 
70.12,16.79,100.639188, 
57.31,13.22,100.65868, 
48.62,12.95,100.679041, 
51.08,12.33,100.7002, 
62.65,13.55,100.719614, 
56.29,12.84,100.740902, 
48.89,12.7,100.761156, 
64.94,13.56,100.78087, 
49.05,11.99,100.801785, 
55.5,12.76,100.821666, 
59.54,12.72,100.841735, 
42.91,13.15,100.86169, 
54.88,12.78,100.882812, 
53.51,12.3,100.903476, 
61.46,13.05,100.922434, 
58.68,12.36,100.943397, 
51.35,13.23,100.962856, 
59.27,12.88,100.983486, 
51.17,12.85,101.002855, 
61.36,12.9,101.022782, 
54.37,12.94,101.043231, 
54.04,12.91,101.063858, 
52.06,12.17,101.084495, 
59.75,12.88,101.103431, 
66.72,13.08,101.122297, 
64.84,13.2,101.141919, 
57.19,12.59,101.161459, 
61.23,12.6,101.181964, 
54.82,12.36,101.201594, 
63.51,13.42,101.220962, 
64.49,13.67,101.240608, 
57.1,12.39,101.260924, 
57.51,13.51,101.280968, 
54.08,12.9,101.301651, 
56.51,12.06,101.322237, 
51.88,13.17,101.342965, 
55.2,12.44,101.363259, 
54.13,12.9,101.382813, 
59.69,12.51,101.402891, 
53.53,12.99,101.423884, 
50.59,12.43,101.444246, 
54.97,13.37,101.464693, 
54.18,12.46,101.484677, 
53.11,12.99,101.505107, 
53.35,12.98,101.526183, 
55.6,12.75,101.545447, 
55.25,12.78,101.565097, 
56.29,12.87,101.585735, 
50.7,12.72,101.606603, 
49.58,12.4,101.627999, 
53.07,12.88,101.648999, 
46.4,12.6,101.669554, 
50.57,13.11,101.689397, 
49.51,12.73,101.709641, 
59.48,12.64,101.72971, 
55.89,12.99,101.750108, 
49,12.76,101.76922, 
54.33,12.93,101.789574, 
55.47,13.28,101.809323, 
56.42,13.1,101.829357, 
50.6,12.74,101.849273, 
56.85,12.67,101.868391, 
53.55,12.38,101.888806, 
52.63,12.74,101.908945, 
51.6,12.75,101.930167, 
56.3,13.06,101.950636, 
55.82,13.56,101.970713, 
62.62,13.29,101.991276, 
63.68,15.14,102.010728, 
56.15,12.71,102.030687, 
56.02,13.4,102.050521, 
74.05,15.11,102.0704, 
70.81,17.39,102.091824, 
64.06,12.88,102.111569, 
56.3,12.88,102.131061, 
61.46,13.33,102.150301, 
62.62,13.81,102.170267, 
66.08,15.01,102.189917, 
78.14,16.44,102.208955, 
64.61,14.13,102.228672, 
56.83,12.62,102.248399, 
57.25,12.17,102.268346, 
54.4,12.87,102.288613, 
56.94,12.47,102.309122, 
58.53,12.83,102.328198, 
62.31,13.08,102.348254, 
57.43,12.19,102.368815, 
55.43,12.92,102.388692, 
54.29,13.24,102.408589, 
55.46,13.68,102.428908, 
56.42,13.16,102.450406, 
57.91,12.41,102.46974, 
60.47,12.94,102.489957, 
56.92,13.28,102.50918, 
65.47,12.23,102.528694, 
61.92,12.79,102.547859, 
63.85,13.31,102.567683, 
63.11,12.99,102.587703, 
54.76,12.54,102.607029, 
63.22,14.29,102.626714, 
59.63,12.88,102.645944, 
53.86,12.58,102.66596, 
58.67,12.71,102.686488, 
53.46,12.26,102.706811, 
63.79,12.88,102.726628, 
61.54,13.02,102.746525, 
60.35,12.8,102.766486, 
60.9,12.51,102.786034, 
55.95,12.22,102.806531, 
52.41,12.63,102.826672, 
55.96,12.45,102.846922, 
56.91,13.02,102.86652, 
59.11,12.15,102.886795, 
56.68,13.26,102.907457, 
53.39,12.76,102.927418, 
61.18,14.36,102.947699, 
65.74,15.02,102.967814, 
76.19,17.7,102.987701, 
59.47,13.05,103.006738, 
58.29,11.79,103.027516, 
66.05,13.61,103.047443, 
68.88,13.23,103.06645, 
65.55,12.52,103.08538, 
71.22,12.76,103.104453, 
68.27,12.42,103.123865, 
68.88,13.92,103.1431, 
66.82,14.41,103.162516, 
69.2,14.84,103.181602, 
62.7,14.79,103.201923, 
63.3,14.68,103.221358, 
71.44,14.64,103.241246, 
63.31,14.86,103.261668, 
66.41,15.01,103.280768, 
65.56,14.66,103.300824, 
68.63,15.01,103.319885, 
69.05,14.61,103.338958, 
67.28,14.51,103.358122, 
62.07,13.73,103.378113, 
62.53,12.17,103.397777, 
63.35,13.49,103.418108, 
66.87,13.6,103.438351, 
65.18,12.17,103.458607, 
62.52,13.13,103.47884, 
62.38,12.52,103.499253, 
62.61,12.74,103.519407, 
67.64,13.22,103.538498, 
65.37,12.85,103.557804, 
64.01,14.67,103.577739, 
68.96,15.07,103.597255, 
68.93,14.73,103.616424, 
67.64,14.74,103.635634, 
69.55,14.95,103.65471, 
70.36,14.98,103.674605, 
61.47,14.5,103.69497, 
64.29,14.39,103.715141, 
61.19,14.55,103.735046, 
60.88,14.09,103.755075, 
58.93,13.6,103.775602, 
61.98,14.48,103.795508, 
56.29,12.48,103.816645, 
58.75,13.05,103.837769, 
56.75,12.83,103.858935, 
57.68,12.23,103.879161, 
56.29,12.09,103.900092, 
55.3,12.15,103.921955, 
57.17,12.7,103.942812, 
68.81,13.55,103.962895, 
65.96,13.87,103.982213, 
69.6,15.36,104.001952, 
63.59,15.06,104.022359, 
66.27,14.65,104.042548, 
61.57,14.59,104.063582, 
64.19,15.12,104.082757, 
66.1,14.5,104.102969, 
62.36,14.46,104.123548, 
64.77,15.59,104.142518, 
72.38,15.31,104.161821, 
66.5,13.94,104.182389, 
61.87,13.84,104.201617, 
63.79,14.46,104.221653, 
68.71,13.02,104.240655, 
69.26,13.15,104.259732, 
64.7,13.97,104.279455, 
63.54,12.68,104.298555, 
64.26,12.79,104.318049, 
67.46,13.96,104.33728, 
69.93,13.6,104.357221, 
68.31,14.68,104.376681, 
71.1,12.77,104.397087, 
78.09,17.85,104.416513, 
59.41,13.68,104.436692, 
61.14,14.39,104.457492, 
62.29,15.05,104.476803, 
61.7,14.1,104.49658, 
69.12,15.26,104.515955, 
66.48,14.15,104.536388, 
63.97,15.05,104.555745, 
66.96,13.96,104.57573, 
62.79,14.69,104.596082, 
63.17,13.82,104.615837, 
65.77,14.19,104.636173, 
70.71,14.89,104.655224, 
70.38,12.76,104.674211, 
69.82,14.13,104.693331, 
64.64,12.99,104.713271, 
72.71,13.77,104.732643, 
62.4,12.38,104.752543, 
64.95,12.6,104.77193, 
67,12.8,104.791493, 
68.42,13.19,104.810569, 
65.08,12.88,104.829925, 
60.54,13.41,104.849685, 
62.18,15.39,104.869656, 
69.02,15.05,104.889534, 
64.38,14.82,104.909863, 
65.83,14.12,104.929693, 
61.6,15.07,104.950225, 
72.78,15.24,104.969256, 
73.47,14.89,104.988772, 
65.48,14.14,105.008203, 
72.06,14.83,105.027983, 
66.74,14.61,105.047592, 
65.88,13.86,105.067253, 
65.47,13.95,105.087309, 
65.45,12.8,105.106334, 
67.96,14,105.125357, 
66.21,13.13,105.145071, 
70.59,12.29,105.164079, 
65.6,12.41,105.18397, 
63.91,13.26,105.204629, 
73.47,13.35,105.223725, 
72.42,13.94,105.2432, 
64.75,14.64,105.266682, 
75.07,17.24,105.286468, 
69.64,15.4,105.305603, 
74.54,16.18,105.325396, 
69.24,14.59,105.344458, 
67.49,14.66,105.363561, 
69.29,14.74,105.382527, 
63.36,14.3,105.402218, 
64.73,14.81,105.421952, 
64.42,14.42,105.441015, 
65.71,13.74,105.460645, 
70.31,14.8,105.479795, 
64.43,13.69,105.499556, 
64.57,13.01,105.519038, 
67.57,13.3,105.538, 
69.73,13.63,105.557253, 
67.31,12.81,105.576335, 
71,12.71,105.595333, 
66.54,12.48,105.615012, 
63,13.09,105.634088, 
65.46,12.5,105.653767, 
62.67,12.98,105.673452, 
66.59,13.12,105.692833, 
69.13,14.94,105.711934, 
64.94,15.01,105.732079, 
69.96,15.09,105.751146, 
66.33,14.8,105.770961, 
65.37,14.11,105.790261, 
67.12,14.39,105.809329, 
64.64,14.42,105.829385, 
70.19,15.23,105.848813, 
72.47,14.77,105.8684, 
63.76,14.41,105.888147, 
64.91,13.68,105.907229, 
65.92,14.86,105.926934, 
63.44,12.82,105.946563, 
66.72,13.86,105.966205, 
66.37,12.99,105.985302, 
71.79,13.77,106.004345, 
70.07,12.91,106.023512, 
67.34,12.76,106.042825, 
67.34,12.68,106.062444, 
63.92,12.48,106.081993, 
64.52,12.67,106.101148, 
63.13,13.56,106.120866, 
65.9,14.44,106.139929, 
65.75,14.75,106.158988, 
68.62,14.9,106.178297, 
65.11,15,106.198283, 
66.55,15.4,106.217683, 
70.59,15.16,106.237109, 
70.75,15.2,106.256292, 
60.36,15.22,106.276738, 
60.95,14.61,106.297036, 
61.7,14.09,106.317314, 
64.34,14.24,106.336385, 
78.06,15.81,106.35604, 
75.53,14.74,106.375186, 
74.23,14.37,106.394172, 
66.27,12.78,106.414221, 
70.17,13.08,106.433156, 
67.76,13.02,106.452105, 
68.35,12.59,106.471056, 
69.18,13.54,106.49004, 
71.46,13.76,106.509826, 
66.32,12.98,106.529432, 
64.75,14.07,106.548915, 
64.9,14.78,106.56933, 
65.91,14.36,106.58847, 
62.1,15.08,106.608978, 
70.52,14.81,106.62865, 
70.61,16.02,106.647796, 
71.05,14.61,106.666897, 
69.13,15.34,106.685984, 
64.17,14.66,106.706314, 
70.85,16.24,106.726137, 
81.12,17.58,106.748812, 
67.53,14.42,106.767876, 
65.08,14.25,106.787864, 
68.4,13.24,106.808055, 
66.63,13.46,106.828305, 
72.01,13.31,106.847195, 
69.98,12.74,106.866123, 
66.69,13.33,106.886094, 
62.83,12.52,106.906014, 
61.9,11.95,106.926329, 
66.64,13.44,106.945447, 
61.79,13.49,106.965095, 
65.1,14.7,106.983964, 
68.2,14.44,107.003329, 
70.7,15.57,107.022344, 
72.05,16.28,107.041393, 
82.59,19.08,107.062231, 
71.58,15.29,107.081228, 
62.19,14.84,107.099978, 
56.87,14.03,107.120209, 
62.61,14.51,107.139027, 
57.29,14.18,107.158798, 
61.78,13.87,107.178957, 
73.28,15.02,107.197812, 
63.36,13.44,107.217928, 
68.18,13.09,107.237387, 
64.28,13.87,107.256194, 
61.55,13.33,107.276293, 
60.45,12.89,107.296255, 
61.86,12.87,107.316307, 
65.6,13.18,107.336231, 
59.61,12.99,107.356485, 
61.89,12.73,107.375324, 
63.56,12.75,107.394545, 
58.99,14.67,107.413448, 
65.42,14.84,107.432354, 
61.54,14.43,107.45234, 
63.13,14.42,107.47254, 
62.79,15.01,107.491541, 
69.43,15.17,107.510367, 
63.94,14.91,107.529271, 
63.56,14.73,107.548874, 
58.51,14.73,107.568269, 
66.01,14.14,107.588359, 
58.71,13.65,107.608726, 
60.09,14.86,107.62936, 
60.04,13.98,107.648414, 
65.04,13.25,107.668178, 
67.12,13.82,107.687092, 
70.35,12.75,107.70687, 
62.79,13.17,107.725675, 
58.01,12.07,107.746035, 
65.57,14.79,107.765691, 
68.91,14.57,107.785654, 
65.71,12.93,107.804753, 
67.27,15.87,107.827264, 
77.25,14.27,107.846719, 
57.57,14.88,107.86632, 
59,15.27,107.886218, 
63.56,15.15,107.90606, 
58.41,14.85,107.926088, 
59.94,14.82,107.945358, 
57.62,14.51,107.96542, 
58.98,14.83,107.985632, 
57.17,14.89,108.005868, 
60.56,14.88,108.025199, 
63.47,14.48,108.044583, 
61.93,14.64,108.063807, 
58.68,14.18,108.083612, 
53.74,12.58,108.103928, 
62.68,13.01,108.123577, 
55.54,12.98,108.143583, 
60.82,13.1,108.163434, 
60.41,12.39,108.182943, 
52.31,12.35,108.202849, 
60.51,12.68,108.222159, 
63.95,12.56,108.24114, 
61.4,13.12,108.260068, 
65.83,12.73,108.279094, 
64.1,13.09,108.298, 
62.53,12.66,108.317425, 
59.46,12.9,108.337028, 
53.23,12.39,108.356202, 
60.26,12.89,108.376219, 
58.25,12.59,108.396909, 
57.77,12.98,108.416127, 
56.16,12.22,108.435772, 
51.48,13.03,108.455408, 
60.8,12.54,108.474825, 
64.92,13.5,108.494825, 
62.36,15.39,108.514349, 
67.53,14.47,108.534302, 
81.82,17.57,108.553341, 
62.19,13.22,108.572482, 
62.35,13.06,108.592289, 
53.5,12.93,108.612552, 
58.34,12.64,108.633066, 
51.19,12.84,108.653256, 
56.64,13.1,108.673312, 
56.63,13.38,108.693229, 
48.89,12.57,108.714153, 
48.59,12.47,108.734919, 
39.85,12.48,108.756308, 
39.33,12.87,108.778005, 
42.4,12.33,108.799779, 
39.71,12.86,108.821722, 
38.09,11.92,108.843744, 
38.81,12.44,108.86582, 
38.34,13.05,108.888148, 
38.28,12.32,108.910534, 
44.49,12.54,108.931866, 
45.88,12.52,108.952642, 
50.56,12.98,108.972041, 
56.16,13.35,108.991929, 
60.24,14.3,109.012501, 
73.13,16.61,109.036348, 
64.29,13.84,109.055832, 
60.75,12.69,109.075257, 
63.07,12.57,109.094556, 
60.38,12.82,109.114106, 
66.89,13.21,109.133425, 
66.92,14.33,109.152737, 
61.79,15.42,109.174632, 
73.62,14.32,109.195306, 
56.41,12.77,109.215351, 
62.5,13.57,109.235095, 
64.67,14.69,109.254957, 
75.18,16.77,109.274287, 
59.75,12.78,109.293973, 
59.85,13.08,109.314635, 
55.18,12.55,109.334091, 
60.67,13.44,109.354481, 
53.38,12.99,109.374676, 
65.97,14.36,109.39409, 
62.77,13.99,109.414234, 
76.59,17.08,109.433789, 
60.38,12.56,109.454274, 
55.16,12.34,109.475302, 
55.66,13.25,109.495019, 
65.41,13.97,109.514697, 
68.32,15,109.534256, 
82.97,16.91,109.553352, 
62.91,13.38,109.573499, 
62.07,13.13,109.593583, 
58.71,12.65,109.612926, 
56.09,13.04,109.632849, 
58.48,12.8,109.652563, 
62.31,13.52,109.672639, 
64.74,12.91,109.691948, 
60.79,13.47,109.711796, 
56.32,12.56,109.73255, 
62.29,12.9,109.752049, 
56.87,12.53,109.771857, 
59.29,13.35,109.791805, 
54.9,12.5,109.812698, 
53.37,12.66,109.833439, 
49.4,12.24,109.855412, 
54.71,12.99,109.875842, 
52.83,12.53,109.896768, 
52,12.77,109.917919, 
49,12.52,109.93865, 
63.57,13.38,109.958518, 
63.79,13.49,109.976925, 
62.06,12.95,109.996323, 
58.03,12.52,110.017451, 
54.85,12.86,110.036856, 
57.78,12.25,110.057014, 
57.92,12.25,110.076913, 
55.52,12.96,110.097008, 
58.37,12.78,110.116768, 
59.4,12.14,110.136318, 
54.24,12.89,110.156753, 
54.26,13.11,110.176579, 
56.74,13,110.19677, 
53.38,12.69,110.216519, 
57.38,13.34,110.235257, 
61.04,13.13,110.253894, 
57.98,12.91,110.273742, 
61,13.41,110.292277, 
53.01,12.73,110.311429, 
68.67,13.26,110.329746, 
61.99,12.53,110.34932, 
56.14,12.68,110.36973, 
63.57,12.69,110.389259, 
60.43,12.81,110.408658, 
63.65,12.52,110.427965, 
63.33,13.02,110.448532, 
58.2,13.01,110.468874, 
58.06,12.42,110.488962, 
65.15,12.9,110.509532, 
61.54,12.5,110.529018, 
61.51,13.24,110.548719, 
59.2,12.74,110.569063, 
62.57,13.16,110.588599, 
60.97,12.58,110.608157, 
62.53,12.96,110.627411, 
60.83,12.9,110.647877, 
60.74,13,110.667256, 
62.25,12.53,110.687502, 
54.95,12.49,110.70826, 
55.91,12.66,110.729407, 
64.16,13.59,110.749241, 
60.89,12.67,110.76844, 
60.67,12.93,110.78884, 
57.39,12.56,110.810436, 
56.71,13.12,110.830229, 
56.76,12.83,110.85109, 
59.56,12.87,110.872075, 
58.57,13.08,110.89312, 
58.34,12.72,110.913274, 
55.04,13.03,110.93343, 
56.45,12.62,110.954759, 
51.25,12.83,110.975341, 
55.14,12.78,110.996657, 
54.12,12.77,111.017325, 
55.5,12.36,111.037733, 
57.7,12.52,111.058583, 
57.03,13.23,111.078869, 
56.56,12.92,111.099347, 
54.26,12.75,111.120239, 
52.64,12.85,111.140827, 
59.46,13.08,111.160616, 
55.21,12.92,111.181269, 
56.09,12.46,111.202724, 
53.47,12.51,111.224629, 
52.47,12.95,111.246181, 
58.09,13.11,111.26626, 
55.81,12.14,111.286376, 
61.78,13.48,111.30537, 
65.05,13.25,111.323932, 
64.48,12.8,111.343187, 
64.75,12.32,111.362146, 
61.84,12.71,111.381997, 
60.38,13.27,111.401003, 
51.85,12.4,111.420448, 
56.16,12.66,111.440984, 
56.27,13.07,111.460958, 
55.05,13.64,111.480473, 
59.15,12.38,111.500177, 
54.99,12.74,111.520629, 
60.89,12.84,111.540474, 
58.85,12.84,111.56053, 
59.11,13.03,111.580286, 
62.28,12.68,111.599583, 
64.64,13.31,111.618909, 
66.42,13.4,111.638169, 
66.55,12.39,111.657514, 
63.33,12.8,111.676894, 
65.01,13.01,111.696098, 
61.78,12.44,111.715928, 
59.89,13.41,111.735355, 
54.34,12.55,111.756052, 
50.83,12.75,111.776716, 
55.3,12.57,111.796764, 
54.17,11.81,111.819031, 
56.18,13.5,111.839606, 
54.59,12.25,111.860028, 
56.09,12.9,111.880376, 
59.65,12.57,111.900786, 
59.82,12.35,111.921396, 
65.07,13.47,111.940882, 
59.64,13.01,111.961044, 
58.57,12.94,111.980908, 
54.49,12.74,112.001421, 
58.37,12.49,112.021912, 
61.44,14.74,112.041555, 
64.83,13.28,112.062945, 
82.54,17.72,112.083038, 
63.03,13.04,112.101763, 
66.95,12.96,112.121368, 
69.49,13.38,112.140897, 
67.1,12.57,112.160732, 
65.32,12.71,112.180256, 
66.38,12.63,112.200309, 
64.33,13.02,112.219912, 
61.38,13.34,112.24056, 
64.3,14.56,112.260783, 
66.34,14.65,112.280832, 
64.35,14.94,112.30086, 
70.47,14.81,112.320346, 
69.38,14.57,112.339823, 
73.01,16.14,112.359129, 
73.04,16.63,112.377994, 
72.37,16.87,112.399941, 
79.79,16.52,112.419733, 
65.71,14.1,112.440053, 
60.36,13.94,112.46042, 
65.18,13.45,112.480458, 
64.98,13.01,112.500056, 
62.35,13.5,112.519461, 
66.38,13.35,112.538731, 
65.26,12.51,112.558953, 
58.49,12.19,112.579328, 
60.98,12.93,112.598769, 
67.52,12.99,112.618098, 
63.6,12.88,112.637421, 
61.26,13.25,112.657495, 
66.92,15.24,112.677296, 
63.51,14.59,112.696288, 
68.84,14.62,112.7156, 
67.63,15.21,112.73464, 
65.41,14.29,112.754408, 
68.22,14.41,112.773749, 
63.78,14.68,112.79378, 
62.5,14.55,112.813419, 
62.42,14.44,112.832786, 
70.44,14.07,112.852514, 
62.75,13.84,112.872127, 
69.77,14.76,112.89119, 
70.63,13.21,112.910367, 
66.08,12.87,112.929691, 
69,13.31,112.948999, 
70.21,12.87,112.968323, 
67.91,13.27,112.987647, 
66.62,12.6,113.006955, 
70.06,13.01,113.026619, 
67.72,13.02,113.04503, 
67.55,12.47,113.063784, 
67.11,13.73,113.083029, 
66.39,14.76,113.102145, 
67.59,14.88,113.120582, 
71.78,14.65,113.13901, 
72.43,15.41,113.157151, 
69.19,14.39,113.175608, 
74.23,14.68,113.193945, 
72.35,15.04,113.212356, 
70.18,14.26,113.23075, 
74.42,14.59,113.249141, 
67.51,14.78,113.267557, 
68.15,13.75,113.285944, 
70.24,14.45,113.304532, 
66.59,13.75,113.322914, 
67.39,12.61,113.341301, 
68.46,13.51,113.360346, 
71.54,13.2,113.378869, 
67.45,12.26,113.397563, 
70.16,13.3,113.416357, 
71.46,12.9,113.43535, 
70.02,12.62,113.454259, 
69.16,12.84,113.473096, 
65.3,12.64,113.492525, 
65.73,14.46,113.511274, 
64.73,14.87,113.530567, 
71.86,14.74,113.549427, 
67.64,14.88,113.568595, 
67.77,14.29,113.588039, 
67.62,14.14,113.607233, 
72.19,15.03,113.626462, 
68.84,14.54,113.645441, 
65.65,14.67,113.66452, 
69.49,14.49,113.689703, 
69.46,13.83,113.708883, 
68.41,14.29,113.728076, 
68.23,13.81,113.747541, 
65.93,12.42,113.766626, 
67.01,13.52,113.785736, 
67.82,12.46,113.804985, 
70.61,12.89,113.824219, 
68.84,13.26,113.843412, 
68.58,12.24,113.86241, 
66.84,12.61,113.881639, 
68.91,12.86,113.900986, 
64.46,12.98,113.921173, 
66.13,14.59,113.940853, 
67.72,15.11,113.96079, 
64.31,14.63,113.980652, 
66.33,14.88,113.999964, 
69.56,14.86,114.019276, 
69.2,14.82,114.038526, 
69.49,14.66,114.05783, 
70.72,14.97,114.077215, 
68.28,14.79,114.096376, 
70.14,14.17,114.115786, 
69.15,14.27,114.135102, 
66.88,13.92,114.154301, 
71.33,13.48,114.173692, 
66.32,13.23,114.192989, 
69.08,13.83,114.212199, 
66.96,12.66,114.231846, 
69.4,13.52,114.251198, 
67.14,12.23,114.270269, 
68.25,13.47,114.28966, 
74.22,14.05,114.30912, 
71.87,15.05,114.328473, 
85.46,16.96,114.347988, 
68.57,14.71,114.367694, 
67.98,14.7,114.387002, 
70.16,15.18,114.406201, 
71.17,14.62,114.425547, 
70.98,15.32,114.4448, 
70.64,14.84,114.464153, 
70.69,15.28,114.483621, 
69.16,15.03,114.503273, 
72.06,14.92,114.52262, 
67.73,14.68,114.541985, 
65.54,13.76,114.561304, 
63.44,14.15,114.580833, 
70.86,14.13,114.600089, 
70.75,14.19,114.619365, 
73.15,13.53,114.638708, 
71.23,13.47,114.657977, 
71.76,14.95,114.677893, 
72.65,16.4,114.697815, 
74.27,14.61,114.717715, 
61.69,12.78,114.736955, 
68.33,12.69,114.756156, 
64.87,15.09,114.777214, 
99.6,18.7,114.796409, 
68.17,15.05,114.814907, 
69.91,14.73,114.833246, 
70.14,14.6,114.851942, 
70.3,14.48,114.871284, 
69.11,14.88,114.890577, 
68.07,14.86,114.909872, 
71.35,14.83,114.929206, 
67.58,14.58,114.948551, 
71.62,15.16,114.967441, 
69.59,13.8,114.985862, 
72.69,14.25,115.004264, 
67.83,13.77,115.023326, 
68.67,13.33,115.042646, 
69.36,12.91,115.061694, 
70.59,13.8,115.080752, 
69.83,13,115.098913, 
67.48,12.51,115.117991, 
68.87,12.82,115.13708, 
70.28,12.83,115.156107, 
69.39,13.15,115.175423, 
67.18,12.5,115.194637, 
71.28,12.48,115.213948, 
67.21,13.46,115.233292, 
69.35,14.79,115.252632, 
75.15,16.4,115.271983, 
74.99,16.63,115.291051, 
87.84,19.2,115.309662, 
72.6,15.27,115.328257, 
66.86,14.78,115.347463, 
66.55,14.58,115.366556, 
68.52,14.67,115.385478, 
69.39,14.84,115.4046, 
68.15,14.23,115.423772, 
67.5,14.09,115.442893, 
71.88,13.75,115.461285, 
68.92,13.46,115.480607, 
66.51,12.85,115.499584, 
70.94,14.26,115.517872, 
68.2,12.18,115.536992, 
68.12,13.01,115.555729, 
68.93,12.88,115.574885, 
68.45,12.71,115.593229, 
68.11,12.97,115.61191, 
67.56,12.66,115.631465, 
67.9,12.66,115.650821, 
66.96,13.58,115.670479, 
68.08,15.08,115.689885, 
67.92,14.79,115.709429, 
67.08,14.56,115.729056, 
67.6,13.55,115.74867, 
67.4,15.07,115.76801, 
68.23,14.55,115.787355, 
70.01,14.77,115.806616, 
67.84,14.83,115.825549, 
70.21,14.99,115.844693, 
65.03,13.99,115.864408, 
63.88,14.02,115.883673, 
68.73,14.65,115.903043, 
71.91,13.7,115.922342, 
68.43,12.98,115.941674, 
71.67,13.36,115.960628, 
63.76,13.2,115.980013, 
73.42,14.13,115.999438, 
71.74,14.42,116.018582, 
72.94,13.92,116.037648, 
67.77,12.57,116.057044, 
68.81,12.81,116.076452, 
68.04,13.3,116.095857, 
79.89,16.42,116.115441, 
66.42,14.95,116.134963, 
70.96,15.06,116.154586, 
71.39,15.4,116.174358, 
65.61,14.55,116.193798, 
74.05,16.19,116.213421, 
71.05,14.7,116.232722, 
69.9,14.57,116.252054, 
70.28,14.65,116.271944, 
68.01,14,116.29188, 
67.48,14.5,116.311477, 
71.87,14.48,116.330676, 
67.09,14.72,116.350481, 
65.76,13.82,116.370001, 
65.46,13,116.389928, 
70.22,13.89,116.409002, 
65.85,12.91,116.428562, 
68.36,12.93,116.448538, 
61.31,12.21,116.468738, 
65.53,13.27,116.488548, 
67.36,12.35,116.508605, 
66.27,13.28,116.527766, 
68.86,13.11,116.547248, 
65.94,13.27,116.566708, 
69.02,15.79,116.585908, 
75.64,16.46,116.60337, 
85.91,18.7,116.62175, 
67.22,14.94,116.640394, 
70.18,14.69,116.658721, 
67.84,14.5,116.676931, 
63.97,14.1,116.695269, 
62.74,14.77,116.714003, 
60.17,15.17,116.732626, 
63.18,14.26,116.751268, 
76.69,15.86,116.770822, 
68.74,15.18,116.791608, 
87.3,18.45,116.810053, 
71.2,14.24,116.828394, 
69.97,13.61,116.847203, 
72.79,14.91,116.866124, 
86.34,17.17,116.885481, 
63.46,12.77,116.903973, 
71.62,13.44,116.922869, 
60.14,12.51,116.94248, 
58.91,12.48,116.962869, 
61.61,13.13,116.982415, 
58.89,12.39,117.002441, 
62.05,13.02,117.022044, 
55.81,13.78,117.041369, 
67.04,15.29,117.061149, 
62.27,14.52,117.07981, 
65.95,15.4,117.098307, 
62.39,15.04,117.117872, 
59.73,14.39,117.136672, 
57.85,14.69,117.156658, 
66.02,17.15,117.175506, 
62.03,14.59,117.195364, 
58.77,14.15,117.215506, 
56.5,15.07,117.234685, 
51.24,13.96,117.254556, 
51.82,14.62,117.274421, 
55.66,13.57,117.294963, 
59.58,13.67,117.314508, 
52.83,13.27,117.334503, 
54.14,12.26,117.355301, 
60.93,12.98,117.374492, 
