CPU Power (W), DRAM Power (W), Time (S)
45.55, 11.98, 4.103127, 
43.44, 12.18, 4.125597, 
46.38, 12.33, 4.148011, 
44.08, 12.64, 4.170371, 
45.53, 12.14, 4.190733, 
45.55, 12.47, 4.213327, 
45.05, 13.01, 4.234682, 
46.54, 12.06, 4.256640, 
49.64, 12.37, 4.278481, 
49.49, 12.60, 4.299020, 
45.83, 12.23, 4.320920, 
49.81, 12.37, 4.342748, 
48.88, 12.25, 4.364763, 
48.49, 12.81, 4.386760, 
49.62, 12.56, 4.407408, 
46.26, 12.41, 4.429374, 
49.26, 12.48, 4.450856, 
48.37, 12.08, 4.472874, 
49.48, 12.60, 4.494702, 
47.37, 12.25, 4.515892, 
47.14, 12.77, 4.537657, 
50.74, 12.64, 4.558896, 
50.06, 12.87, 4.580953, 
48.41, 12.64, 4.602763, 
46.85, 12.42, 4.623794, 
47.77, 12.71, 4.645668, 
51.43, 12.02, 4.667126, 
48.53, 12.37, 4.689188, 
47.75, 12.49, 4.711323, 
48.54, 12.48, 4.732176, 
47.22, 12.76, 4.753878, 
50.56, 12.30, 4.775306, 
48.91, 12.39, 4.797346, 
47.70, 12.16, 4.819473, 
47.44, 12.82, 4.840274, 
47.68, 11.99, 4.861855, 
50.72, 12.80, 4.883475, 
47.72, 12.06, 4.905529, 
48.07, 12.00, 4.927555, 
49.37, 12.56, 4.948258, 
47.71, 12.53, 4.969854, 
